title,description,position,full_name,first_name,last_name,gender,place
Lijst_9 Ouderenpartij Noord-Holland,,1,J.H. Leever,Jeff,Leever,m,Wieringerwerf
Lijst_9 Ouderenpartij Noord-Holland,,2,B.I.M. Bouberg Wilson,Bruno,Bouberg Wilson,m,Zandvoort
Lijst_9 Ouderenpartij Noord-Holland,,3,J.M. van Ruitenbeek-Schonewille,Joke,van Ruitenbeek-Schonewille,v,Heerhugowaard
Lijst_9 Ouderenpartij Noord-Holland,,4,H.A.M. Visser,Harry,Visser,m,Bussum
Lijst_9 Ouderenpartij Noord-Holland,,5,J.A.W. van Diepen-Hoogewerf,Joke,van Diepen-Hoogewerf,v,Hoorn
Lijst_9 Ouderenpartij Noord-Holland,,6,G. Pankras,Jip,Pankras,m,'t Veld
Lijst_9 Ouderenpartij Noord-Holland,,7,M.C. van Diepen,Maartje,van Diepen,v,Wijdenes
Lijst_9 Ouderenpartij Noord-Holland,,8,J.J. van der Starre,Jan,van der Starre,m,Heerhugowaard
Lijst_9 Ouderenpartij Noord-Holland,,9,C.M. de Bree,Conny,de Bree,v,Hoofddorp
Lijst_9 Ouderenpartij Noord-Holland,,10,T. Kalverboer,Thijs,Kalverboer,m,Purmerend
Lijst_9 Ouderenpartij Noord-Holland,,11,T. Brekelmans,Ton,Brekelmans,m,Zaandam
Lijst_9 Ouderenpartij Noord-Holland,,12,M. Bierman,Marten,Bierman,m,Amsterdam
Lijst_9 Ouderenpartij Noord-Holland,,13,H.M.M. Rotgans,Harry,Rotgans,m,Purmerend
Lijst_9 Ouderenpartij Noord-Holland,,14,H.S. Stots,Henk,Stots,m,Cruquius
Lijst_9 Ouderenpartij Noord-Holland,,15,M. Hamberg,Mirjam,Hamberg,v,Alkmaar
Lijst_9 Ouderenpartij Noord-Holland,,16,I.H. Louis,Ilankarajah Hudson,Louis,m,Heerhugowaard
Lijst_9 Ouderenpartij Noord-Holland,,17,J.A. van der Meer,Jaap,van der Meer,m,Wijdenes
Lijst_9 Ouderenpartij Noord-Holland,,18,P.T. van der Heijde,Peter,van der Heijde,m,Grootschermer
Lijst_9 Ouderenpartij Noord-Holland,,19,J.H. Munnik,Jan,Munnik,m,Bovenkarspel
Lijst_9 Ouderenpartij Noord-Holland,,20,I.P. van Basten-Winkler,Inge,van Basten-Winkler,v,Bovenkarspel
Lijst_9 Ouderenpartij Noord-Holland,,21,F. de Leeuw,Femke,de Leeuw,v,Haarlem
Lijst_9 Ouderenpartij Noord-Holland,,22,H.W.M. Fokkink,Henk,Fokkink,m,Amstelveen
Lijst_9 Ouderenpartij Noord-Holland,,23,P.J. Dijkstra,Pieter,Dijkstra,m,Breezand
Lijst_9 Ouderenpartij Noord-Holland,,24,A.M. Valent-Groot,Annette,Valent-Groot,v,Heerhugowaard
Lijst_9 Ouderenpartij Noord-Holland,,25,R.S. Burgers,Robert,Burgers,m,Hoogkarspel
Lijst_9 Ouderenpartij Noord-Holland,,26,G.H. de Haan,Ger,de Haan,m,Callantsoog
Lijst_9 Ouderenpartij Noord-Holland,,27,W.A. de Herder,Pim,de Herder,m,Westerland
Lijst_9 Ouderenpartij Noord-Holland,,28,J.A. Kwekkeboom,Jan,Kwekkeboom,m,Bussum
Lijst_9 Ouderenpartij Noord-Holland,,29,M.C.M. Mulder-Keij,Marga,Mulder-Keij,v,Sint Maarten
Lijst_9 Ouderenpartij Noord-Holland,,30,S.N.G. Oudheusden,Nico,Oudheusden,m,Hoorn
Lijst_9 Ouderenpartij Noord-Holland,,31,A.M.C. Rademaker,Ank,Rademaker,v,Alkmaar
Lijst_9 Ouderenpartij Noord-Holland,,32,A.P. Rietkerk,Peter,Rietkerk,m,Tuitjenhorn
Lijst_9 Ouderenpartij Noord-Holland,,33,J.C.E. Tang,Nora,Tang,v,Amstelveen
Lijst_9 Ouderenpartij Noord-Holland,,34,G.B. Dirkmaat,Gijs,Dirkmaat,m,Heerhugowaard
Lijst_9 Ouderenpartij Noord-Holland,,35,C. Kruijmer,Kees,Kruijmer,m,Huizen
Lijst_9 Ouderenpartij Noord-Holland,,36,P.J. Bruijstens,Piet,Bruijstens,m,Hippolytushoef
