title,description,position,full_name,first_name,last_name,gender,place
Lijst_10 50PLUS,,1,O.A.C. de Meij,Olga,de Meij,v,Amsterdam
Lijst_10 50PLUS,,2,F.J. Rose,Frans,Rose,m,Laren
Lijst_10 50PLUS,,3,H.J. ten Cate,Hylke,ten Cate,m,Haarlem
Lijst_10 50PLUS,,4,J.H. Avis,Jacob,Avis,m,Blokker
Lijst_10 50PLUS,,5,Y.K. Ng,Yuen,Ng,m,Amsterdam
Lijst_10 50PLUS,,6,G.J. Pieterman,Gerard,Pieterman,m,Heerhugowaard
Lijst_10 50PLUS,,7,C.F. Braun,Carlo,Braun,m,Amsterdam
Lijst_10 50PLUS,,8,P.A. Prins,Peter,Prins,m,Diemen
Lijst_10 50PLUS,,9,W. van Soest,Wil,van Soest,v,Amsterdam
Lijst_10 50PLUS,,10,M.W.E. van de Griendt,Monique,van de Griendt,v,Amsterdam
Lijst_10 50PLUS,,11,F.W. van Laar,Frits,van Laar,m,Purmerend
Lijst_10 50PLUS,,12,I.T.F.M.G. Timmermans,Ivo,Timmermans,m,Amsterdam
Lijst_10 50PLUS,,13,R. van Brug,Rinze,van Brug,m,Amsterdam
Lijst_10 50PLUS,,14,B.F.C. Frank,Bernard,Frank,m,Amsterdam
Lijst_10 50PLUS,,15,F.J. Kilian,Frans,Kilian,m,Alkmaar
Lijst_10 50PLUS,,16,R.F. Schols,Roberto,Schols,m,Aalsmeer
Lijst_10 50PLUS,,17,A.S.G. Klaver,Bert,Klaver,m,Alkmaar
Lijst_10 50PLUS,,18,N. de Vos,Nico,de Vos,m,Den Helder
Lijst_10 50PLUS,,19,K.L.R. Ho Ten Soeng,Roy,Ho Ten Soeng,m,Venhuizen
Lijst_10 50PLUS,,20,F. Koppers,Frits,Koppers,m,Amsterdam
Lijst_10 50PLUS,,21,G.J.M. Meuwese,Gerard,Meuwese,m,Alkmaar
Lijst_10 50PLUS,,22,R.H. Bluemink,Robert,Bluemink,m,Heemstede
Lijst_10 50PLUS,,23,J.M. Berendsen,Joop,Berendsen,m,Zandvoort
Lijst_10 50PLUS,,24,J.G. Nagel,Jan,Nagel,m,Hilversum
