title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 SP (Socialistische Partij),,1,W.L.M. van den Heuvel,William,van den Heuvel,m,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,2,M.A.C. Breedijk,Marianne,Breedijk,v,Nijverdal
Lijst 5 SP (Socialistische Partij),,3,G. van der Ven-Lodder,Gezina,van der Ven-Lodder,v,Almelo
Lijst 5 SP (Socialistische Partij),,4,H. Broekhuijs,Harry,Broekhuijs,m,Schalkhaar
Lijst 5 SP (Socialistische Partij),,5,H.J. Klein Bleumink-Hooiveld,Henriette,Klein Bleumink-Hooiveld,v,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,6,T. Grobben,Tessa,Grobben,v,Almelo
Lijst 5 SP (Socialistische Partij),,7,E. van den Berg,Ellen,van den Berg,v,Wijhe
Lijst 5 SP (Socialistische Partij),,8,S.M.A. Roijen,Bas,Roijen,m,Kampen
Lijst 5 SP (Socialistische Partij),,9,P.M. Wilkinson-Hillen,Paulien,Wilkinson-Hillen,v,Enschede
Lijst 5 SP (Socialistische Partij),,10,J.A. Koning,Johan,Koning,m,Borne
Lijst 5 SP (Socialistische Partij),,11,M. Hulstijn,Maarten,Hulstijn,m,Zwolle
Lijst 5 SP (Socialistische Partij),,12,A.M. Lassche,Ans,Lassche,v,Enschede
Lijst 5 SP (Socialistische Partij),,13,R. Kolner,Rob,Kolner,m,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,14,K. Sa'ad,Khaled,Sa'ad,m,IJsselmuiden
Lijst 5 SP (Socialistische Partij),,15,J.E.L. Futselaar,Annelies,Futselaar,v,Enschede
Lijst 5 SP (Socialistische Partij),,16,W.B.M. Lourenssen,Willy,Lourenssen,m,Raalte
Lijst 5 SP (Socialistische Partij),,17,G. Laarhuis,Gerard,Laarhuis,m,Delden
Lijst 5 SP (Socialistische Partij),,18,A.J. Boddeus,Richard,Boddeus,m,Kampen
Lijst 5 SP (Socialistische Partij),,19,R. Faber,Ruurd,Faber,m,Oldenzaal
Lijst 5 SP (Socialistische Partij),,20,F.W. Futselaar,Frank,Futselaar,m,Zwolle
Lijst 5 SP (Socialistische Partij),,21,V.H. Mulder,Vincent,Mulder,m,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,22,F.J. Cornelissen,Javier,Cornelissen,m,Almelo
Lijst 5 SP (Socialistische Partij),,23,M.A. ten Heuw,Mariska,ten Heuw,v,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,24,T.E. Siderius,Tjitske,Siderius,v,Zwolle
