title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),1,J. Westert,Jan,Westert,m,Ommen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),2,E. Boerman,Bert,Boerman,m,Kampen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),3,M. van Abbema - Wijtsma,Martha,van Abbema - Wijtsma,v,Den Ham
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),4,A.H. te Rietstap,Alwin,te Rietstap,m,Bergentheim
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),5,S. Stelpstra,Sybren,Stelpstra,m,Brucht
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),6,A.K. Hof,Arjan,Hof,m,Enschede
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),7,W.M. Hovestad,Wim,Hovestad,m,Zwolle
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),8,W.I. Meijer,Wolbert,Meijer,m,Hasselt
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),9,M.C. Hindriks,Marcel,Hindriks,m,Zwolle
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),10,G.J. Dekker - Meijer,Gerda,Dekker - Meijer,v,Enschede
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),11,W.H. Tromp,Hugo,Tromp,m,Ommen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),12,H. Vedder,Dik,Vedder,m,Staphorst
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),13,R.A. van der Velde - Buist,Renate,van der Velde - Buist,v,Kampen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),14,H.J. Veurink,Richard,Veurink,m,Ommen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),15,H. Korterink,Henk,Korterink,m,Staphorst
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),16,S.R.W. Veenhoven,Sieger,Veenhoven,m,Goor
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),17,J.P. Oost,Johan,Oost,m,Diepenveen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),18,G.G. Niemeijer,Gerrit,Niemeijer,m,Hardenberg
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),19,J.W. Schutte,Jan Willem,Schutte,m,Kampen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),20,T.M. Keesmaat - Ritmeester,Tirza,Keesmaat - Ritmeester,v,Nieuwleusen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),21,G. Smelt,Gerjan,Smelt,m,Vriezenveen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),22,W.B. Teeuw,Wouter,Teeuw,m,Almelo
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),23,L. Kievit - Braakman,Lidi,Kievit - Braakman,v,Kampen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),24,H.J. de Vos,Henk,de Vos,m,Diepenveen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),25,R. Minkjan,Ruben,Minkjan,m,Nijverdal
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),26,K. van Olst,Klaas,van Olst,m,Genemuiden
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),27,F.G. Eshuis - Egberts,Riet,Eshuis - Egberts,v,Hoge Hexel
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),28,E. Alkema,Egbert,Alkema,m,Hengelo (O)
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),29,G. Hilberink,Carla,Hilberink,v,Vriezenveen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),30,B. Wolterink,Ben,Wolterink,m,Rijssen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),31,K. Huisman,Klaasje,Huisman,v,Staphorst
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),32,H.J. Boxum,Henk,Boxum,m,Sint Jansklooster
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),33,M.A. van der Bent - van den Hout,Marjan,van der Bent - van den Hout,v,Ommen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),34,E. Goldsteen,Evert,Goldsteen,m,Dalfsen
