title,description,position,full_name,first_name,last_name,gender,place
Lijst 10 50PLUS,,1,W.M.M. Hoek,Mieke,Hoek,v,Vreeland
Lijst 10 50PLUS,,2,M. Spaargaren-Nieuwerf,Marianne,Spaargaren-Nieuwerf,v,Doorn
Lijst 10 50PLUS,,3,P.J.B. Koning,Peter,Koning,m,Amersfoort
Lijst 10 50PLUS,,4,W.W.M. Bouwman,Wil,Bouwman,m,Achterveld
Lijst 10 50PLUS,,5,J.G. van Koert,Jan,van Koert,m,Doorn
Lijst 10 50PLUS,,6,N. de Ru,Naama,de Ru,v,Utrecht
Lijst 10 50PLUS,,7,A.P.J. Richter,Ton,Richter,m,Vinkeveen
Lijst 10 50PLUS,,8,F.C. Portengen,Chris,Portengen,m,Loenen aan de Vecht
Lijst 10 50PLUS,,9,J.M. Gadellaa,Jack,Gadellaa,m,Utrecht
Lijst 10 50PLUS,,10,H.J. Troost,Herman,Troost,m,Nieuwegein
Lijst 10 50PLUS,,11,M. Koopman,Maurice,Koopman,m,Amersfoort
