title,description,position,full_name,first_name,last_name,gender,place
Lijst 13 Provincie@Inwonersbelangen,,1,J.R.J. van Engelen,John,van Engelen,m,Nieuwegein
Lijst 13 Provincie@Inwonersbelangen,,2,J.L.M. van Rensen,Jan - Hubert,van Rensen,m,Harmelen
Lijst 13 Provincie@Inwonersbelangen,,3,J Verbeek-Beverwijk,Jacqueline,Verbeek-Beverwijk,v,Nieuwegein
Lijst 13 Provincie@Inwonersbelangen,,4,C.L. Jonkers,Rob,Jonkers,m,Montfoort
Lijst 13 Provincie@Inwonersbelangen,,5,R. Roos,Rob,Roos,m,Kockengen
Lijst 13 Provincie@Inwonersbelangen,,6,H.M. Saaltink,Harry,Saaltink,m,Leusden
Lijst 13 Provincie@Inwonersbelangen,,7,M.M. Verbruggen- Ezendam,Mirjam,Verbruggen- Ezendam,v,Vinkeveen
Lijst 13 Provincie@Inwonersbelangen,,8,J.C. van der Does,Jaap,van der Does,m,Woerden
Lijst 13 Provincie@Inwonersbelangen,,9,S Streekstra,Sybe,Streekstra,m,Driebergen-Rijsenburg
Lijst 13 Provincie@Inwonersbelangen,,10,I de Liefde,Iris,de Liefde,v,Vianen
Lijst 13 Provincie@Inwonersbelangen,,11,V.A.M. Verhaar,Vincent,Verhaar,m,Nieuwegein
Lijst 13 Provincie@Inwonersbelangen,,12,E.C. van Ommeren,Eddy,van Ommeren,m,Utrecht
Lijst 13 Provincie@Inwonersbelangen,,13,J.J.T. Sistermans,Jacques,Sistermans,m,Harmelen
Lijst 13 Provincie@Inwonersbelangen,,14,J.E. Kemna,Jeroen,Kemna,m,Elst Ut
Lijst 13 Provincie@Inwonersbelangen,,15,J.H. Huntink - Bos,Angelique,Huntink - Bos,v,Montfoort
Lijst 13 Provincie@Inwonersbelangen,,16,H.A. van Assem,Hendrie,van Assem,m,Woerden
Lijst 13 Provincie@Inwonersbelangen,,17,A van der Veen,Aad,van der Veen,m,Montfoort
Lijst 13 Provincie@Inwonersbelangen,,18,P.M. Terpstra,Piet,Terpstra,m,Zeist
Lijst 13 Provincie@Inwonersbelangen,,19,E Verkaik,Eimert,Verkaik,m,Montfoort
Lijst 13 Provincie@Inwonersbelangen,,20,W.G. Smit,Wietze,Smit,m,Cothen
Lijst 13 Provincie@Inwonersbelangen,,21,C.C. de Kam,Ineke,de Kam,v,Utrecht
