title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,1,R.G.H. van Muilekom,Rob,van Muilekom,m,Amersfoort
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,2,P.J. van Viegen,Pauline,van Viegen,v,Utrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,3,A. Essousi,Ali,Essousi,m,Utrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,4,C. de Kruijf,Kees,de Kruijf,m,Leusden
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,5,J.P. d' Hondt,Julie,d' Hondt,v,Utrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,6,H.O. Suna,Osman,Suna,m,Soest
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,7,W.W.M. Wagenmans,Willy,Wagenmans,m,Houten
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,8,N.A. Krijgsman,Annet,Krijgsman,v,Utrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,9,P.V. van der Linden,Paul,van der Linden,m,Bilthoven
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,10,H.M. Lejeune,Marieke,Lejeune,v,Montfoort
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,11,W.P.R. van der Steen,Wils,van der Steen,m,Woudenberg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,12,A. Veenstra,Bert,Veenstra,m,Hoogland
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,13,M. Nebbeling,Mitchel,Nebbeling,m,Nieuwegein
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,14,I. Schippers,Inez,Schippers,v,Utrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,15,U.P. Blom,Ursula,Blom,v,Driebergen-Rijsenburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,16,L. de la Combé,Louis,de la Combé,m,Amersfoort
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,17,R.A.P. Smulders,Rob,Smulders,m,Amersfoort
