title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,1,G. van Leeuwen,Gijs,van Leeuwen,,Houten
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,2,P.A. van Leeuwen,Piet,van Leeuwen,,Rhenen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,3,P.E.B. van Ojen,Pieter,van Ojen,,Zeist
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,4,L.C. van den Dikkenberg,Bertrick,van den Dikkenberg,,Elst Ut
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,5,H.J. van der Wind,Henk,van der Wind,,Maarsbergen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,6,A.J.W. van der Vlies,Arie,van der Vlies,,Maartensdijk
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,7,D.D. Both,Dick,Both,,Veenendaal
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,8,J.A. Mulder,Jan,Mulder,,Woudenberg
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,9,J.M. van Eckeveld,Marco,van Eckeveld,,Rhenen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,10,H. van Barneveld,Huig,van Barneveld,,Bunschoten
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,11,C.J. van Tuijl,Cor,van Tuijl,,Woerden
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,12,D. Vlastuin,Dick,Vlastuin,,Renswoude
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,13,J. van de Lagemaat,Jan,van de Lagemaat,,Woudenberg
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,14,H.W. Palm,Hendrik,Palm,,Wilnis
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,15,L.A. Wijnmaalen,Leendert,Wijnmaalen,,Vianen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,16,G. Boonzaaijer,Gerrit,Boonzaaijer,,Doorn
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,17,C.M. Verloop,Marco,Verloop,,Veenendaal
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,18,R. Bor,Rudy,Bor,,Rhenen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,19,W.G. Hulsman,Wim,Hulsman,,Rhenen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,20,A.B. Schep,Arie,Schep,,Benschop
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,21,J.F. Slootweg,Johan,Slootweg,,Maartensdijk
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,22,J. Schouten,Jan,Schouten,,Leusden
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,23,J.W. Benschop,Jan Willem,Benschop,,Lopik
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,24,F.M. de Ronde,Frans,de Ronde,,Maarssen
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,25,P.M.H. Meeuse,Martijn,Meeuse,,Amersfoort
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,26,P. de Jong,Peter,de Jong,,Montfoort
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,27,M. de Heer,Maarten,de Heer,,Polsbroek
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,28,P. Schalk,Peter,Schalk,,Veenendaal
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,29,W. van Wikselaar,Wim,van Wikselaar,,Driebergen-Rijsenburg
Lijst 9 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,30,R. Bisschop,Roelof,Bisschop,,Veenendaal
