title,description,position,full_name,first_name,last_name,gender,place
Lijst 11 50PLUS,,1,W. Willemse,Willem,Willemse,m,Vlissingen
Lijst 11 50PLUS,,2,G.L.C. Lernout,George,Lernout,m,Sint Jansteen
Lijst 11 50PLUS,,3,J.L.A.M. Roozen,John,Roozen,m,Vlissingen
Lijst 11 50PLUS,,4,F.J.M. Kalwij,Fred,Kalwij,m,Burgh-Haamstede
Lijst 11 50PLUS,,5,A. van der Kolk,Arend,van der Kolk,m,Scharendijke
Lijst 11 50PLUS,,6,E.C. de Smit,Eduard,de Smit,m,Middelburg
Lijst 11 50PLUS,,7,R.F. Teunissen,Ronald,Teunissen,m,Vlissingen
Lijst 11 50PLUS,,8,C.J.P.M. Kalwij-Snel,Tineke,Kalwij-Snel,v,Burgh-Haamstede
Lijst 11 50PLUS,,9,A.A.J. Israël,Fons,Israël,m,Middelburg
Lijst 11 50PLUS,,10,A.G. Bolier,Anton,Bolier,m,Veere
Lijst 11 50PLUS,,11,J. van Sabben,Jan,van Sabben,m,Terneuzen
Lijst 11 50PLUS,,12,J.M. Montenarie,Hanny,Montenarie,v,Vlissingen
