title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 VVD,,1,C.W. Bierens,Kees,Bierens,m,Meliskerke
Lijst 1 VVD,,2,C.M.M. Schönknecht-Vermeulen,Carla,Schönknecht-Vermeulen,v,Vlissingen
Lijst 1 VVD,,3,H.J. van Geesbergen,Hans,van Geesbergen,m,Zierikzee
Lijst 1 VVD,,4,R. Ruissen,René,Ruissen,m,Hulst
Lijst 1 VVD,,5,T. van Gent,Tobias,van Gent,m,Middelburg
Lijst 1 VVD,,6,J. Boerjan,Jolanda,Boerjan,v,Heinkenszand
Lijst 1 VVD,,7,N. Heerkens,Nicole,Heerkens,v,Kapelle
Lijst 1 VVD,,8,K. Roelse,Kees,Roelse,m,Zoutelande
Lijst 1 VVD,,9,A.A. Mosselman,Arjen,Mosselman,m,'s-Gravenpolder
Lijst 1 VVD,,10,M. Groeneveld,Michiel,Groeneveld,m,Terneuzen
Lijst 1 VVD,,11,J.H. Herselman,Jon,Herselman,m,Kapelle
Lijst 1 VVD,,12,S.F. Cracau,Sal,Cracau,m,Vlissingen
Lijst 1 VVD,,13,D.N. Meulblok,Dick,Meulblok,m,Burgh-Haamstede
Lijst 1 VVD,,14,A.J.C. van Oost,Anton,van Oost,m,Tholen
Lijst 1 VVD,,15,M.P.A. Beverwijk,Michael,Beverwijk,m,Zaamslag
Lijst 1 VVD,,16,S. Penning,Sander,Penning,m,Burgh-Haamstede
Lijst 1 VVD,,17,J. Werkman,Jack,Werkman,m,Scherpenisse
Lijst 1 VVD,,18,E.S. Breure-den Oudsten,Edith,Breure-den Oudsten,v,Kats
Lijst 1 VVD,,19,C.G. Koeman,Christian,Koeman,m,Kruiningen
Lijst 1 VVD,,20,E.A. Advocaat,Edwin,Advocaat,m,Philippine
Lijst 1 VVD,,21,M. Osté-Aarnoutse,Marja,Osté-Aarnoutse,v,Koudekerke
Lijst 1 VVD,,22,A.P.M. Wevers,Toine,Wevers,m,Kloetinge
Lijst 1 VVD,,23,L. de Kraker,Clen,de Kraker,m,Hulst
