title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,1,B.J. de Reu,Ben,de Reu,m,Vlissingen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,2,A. Evertz,Annebeth,Evertz,v,Kapelle
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,3,A. Pijpelink,Anita,Pijpelink,v,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,4,J.A.M. van Hertum,Ralph,van Hertum,m,'s-Heer Hendrikskinderen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,5,A.M.M. van Haperen,Anton,van Haperen,m,Koudekerke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,6,B. Erbişim,Bayram,Erbişim,m,Terneuzen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,7,F.A. van Oorschot,Frank,van Oorschot,m,Terneuzen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,8,J.M. van Stel,Hans,van Stel,m,Kruiningen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,9,L. Kallal,Leila,Kallal,v,Yerseke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,10,F.A. de Kaart,Frits,de Kaart,m,Goes
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,11,R.P.M. de Kort,Ron,de Kort,m,Vogelwaarde
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,12,W.P.C. van der Pijl,Wouter,van der Pijl,m,Goes
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,13,J. Schaalje,Jan,Schaalje,m,Oostburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,14,M.W. De Brauwer,Marga,De Brauwer,v,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,15,K.R. van Schuylenburch,Bob,van Schuylenburch,m,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,16,J. Koopman,Jan,Koopman,m,Oost-Souburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,17,J. van de Voorde,Jan,van de Voorde,m,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,18,J. Oudesluijs,Jan,Oudesluijs,m,Sint-Maartensdijk
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,19,M.M.M. Nastaly,Maryska,Nastaly,v,Vlissingen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,20,W.F. ten Hoor,Wim,ten Hoor,m,Sas van Gent
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,21,A.P.A. van Hertum,Amanda,van Hertum,v,'s-Heer Hendrikskinderen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,22,H. Akleem,Hassan,Akleem,m,Schoondijke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,23,A. Çelik,Ayşegül,Çelik,v,Goes
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,24,C.W.M. van 't Westende,Christianne,van 't Westende,v,Hansweert
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,25,S.J. Szarafinski,Saskia,Szarafinski,v,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,26,C.L. Liefting,Cees,Liefting,m,Terneuzen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,27,C.T. Miermans,Conny,Miermans,v,Heinkenszand
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,28,C. Maas,Chris,Maas,m,Domburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,29,F.J.C. Smits,Frank,Smits,m,Hulst
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,30,B.H. de Lange,Barend,de Lange,m,Vlissingen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,31,J.W. Omta,Wiert,Omta,m,Goes
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,32,D. Louwrink,Dieuwke,Louwrink,v,Krabbendijke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,33,R.P. Evers,Robert,Evers,m,Aardenburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,34,P.F. d'Anjou-Lems,Petri,d'Anjou-Lems,v,Zierikzee
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,35,J.K. Bommer,Joyce,Bommer,v,Kapelle
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,36,E. van der Klooster-Dobbelaar,Ellen,van der Klooster-Dobbelaar,v,Wissenkerke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,37,C.J. van der Vliet-Hart,Corina,van der Vliet-Hart,v,Ellemeet
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,38,P.F. de Doelder,Peter,de Doelder,m,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,39,C.J. Knuit,Kees,Knuit,m,Hansweert
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,40,Y. Bouziani,Youssef,Bouziani,m,Vlissingen
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,41,A.V.J. de Vos,Albert,de Vos,m,Zierikzee
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,42,J.G.P. Vermue,Joyce,Vermue,v,Schoondijke
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,43,E. Malawauw,Evie,Malawauw,v,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,44,L.W.A. Schoone,Liliane,Schoone,v,Nisse
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,45,M. Kavşitli,Mehmet,Kavşitli,m,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,46,A.A. de Vries,Albert,de Vries,m,Middelburg
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,47,P.A. Hamelink,Piet,Hamelink,m,Wissenkerke
