title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 PVV (Partij voor de Vrijheid),,1,P. van Dijk,Peter,van Dijk,m,Kattendijke
Lijst 4 PVV (Partij voor de Vrijheid),,2,R.M. Haaze,Ruud,Haaze,m,Arnemuiden
Lijst 4 PVV (Partij voor de Vrijheid),,3,C.V.A. Kooman,Caroline,Kooman,v,Sluiskil
Lijst 4 PVV (Partij voor de Vrijheid),,4,R.L.J.M. de Wit,Roland,de Wit,m,Veere
Lijst 4 PVV (Partij voor de Vrijheid),,5,M.D. Eckhardt,Marina,Eckhardt,v,Vogelwaarde
Lijst 4 PVV (Partij voor de Vrijheid),,6,V.L. Bosch,Vincent,Bosch,m,Poortvliet
Lijst 4 PVV (Partij voor de Vrijheid),,7,V. Mareels,Vincent,Mareels,m,Goes
Lijst 4 PVV (Partij voor de Vrijheid),,8,M. Schenk,Martin,Schenk,m,Rilland
Lijst 4 PVV (Partij voor de Vrijheid),,9,F.H. Quaak,Fred,Quaak,m,Middelburg
Lijst 4 PVV (Partij voor de Vrijheid),,10,P.A.F. Luijten,Peter,Luijten,m,Sluiskil
Lijst 4 PVV (Partij voor de Vrijheid),,11,J.S. Ramgatie,Joyce,Ramgatie,v,Middelburg
Lijst 4 PVV (Partij voor de Vrijheid),,12,S. Mareels,Steven,Mareels,m,Goes
Lijst 4 PVV (Partij voor de Vrijheid),,13,L.G.J.H. Roth-Heijman,Loes,Roth-Heijman,v,Middelburg
Lijst 4 PVV (Partij voor de Vrijheid),,14,D.H.B. Quist,Dirk,Quist,m,Heinkenszand
Lijst 4 PVV (Partij voor de Vrijheid),,15,A.A. Bouwens,Ad,Bouwens,m,Aagtekerke
