title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,1,M. Weststrate,Marien,Weststrate,m,Krabbendijke
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,2,F. Babijn,François,Babijn,m,Oostburg
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,3,C.H.J. Hanse,Kees,Hanse,m,Zierikzee
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,4,R. Muste,Ruud,Muste,m,Vlissingen
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,5,L.E. Flikweert,Lia,Flikweert,v,Sluis
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,6,J.J. van 't Hof,Han,van 't Hof,m,Sint-Annaland
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,7,G.C.J. Minderhoud,Gert-Jan,Minderhoud,m,Oudelande
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,8,W.J.C. Dieleman,Wim,Dieleman,m,Krabbendijke
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,9,E.J. van de Wouw,Ester,van de Wouw,v,Waterlandkerkje
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,10,M.A. Boone-Tuijnman,Mascha,Boone-Tuijnman,v,Oostdijk
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,11,N. van der Hoest,Nico,van der Hoest,m,Yerseke
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,12,C.J. Koopman,Kees,Koopman,m,Sint-Annaland
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,13,M.C. van Hekken,Rien,van Hekken,m,Oudelande
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,14,J. Smet,Joey,Smet,m,Hansweert
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,15,L.H. van den Broecke,Lucien,van den Broecke,m,Breskens
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,16,M.C. van der Hoest - Drenth,Marjan,van der Hoest - Drenth,v,Yerseke
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,17,N.C.J. Werri,Nico,Werri,m,'s-Heerenhoek
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,18,B.M. Franckemölle-Reugebrink,Bianca,Franckemölle-Reugebrink,v,Rilland
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,19,T.P. Krijger,Ted,Krijger,m,Kruiningen
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,20,P.J.A.M. Bruijns,Paul,Bruijns,m,Heinkenszand
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,21,C. Franckemölle,Christiaan,Franckemölle,m,Rilland
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,22,C.H. Meijer,Cor,Meijer,m,Yerseke
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,23,S. Gijzel - Brauns,Silvia,Gijzel - Brauns,v,Hansweert
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,24,A.P. Langeraert,guus,Langeraert,m,Oostburg
Lijst 7 PARTIJ VOOR ZEELAND (PVZ),,25,M.M. Rijk,Marc,Rijk,m,Schoondijke
