title,description,position,full_name,first_name,last_name,gender,place
Lijst_10 50PLUS,,1,J.W.A. Struijlaard,John,Struijlaard,m,Rotterdam
Lijst_10 50PLUS,,2,W.M. Bakx,Willem,Bakx,m,Hillegom
Lijst_10 50PLUS,,3,P. Pont,Peter,Pont,m,Delft
Lijst_10 50PLUS,,4,L.H.C. de Keijzer,Laurens,de Keijzer,m,Rijswijk
Lijst_10 50PLUS,,5,S.F. Fekkes,Sjoerd,Fekkes,m,'s-Gravenhage
Lijst_10 50PLUS,,6,J.C. Siemons,Sjef,Siemons,m,Rotterdam
Lijst_10 50PLUS,,7,J.H. Haasnoot,Jaap,Haasnoot,m,Katwijk
Lijst_10 50PLUS,,8,R.V. De Mulder,Richard,De Mulder,m,Rotterdam
Lijst_10 50PLUS,,9,M.S. Hilte,Marianne,Hilte,v,Zuidland
Lijst_10 50PLUS,,10,F. Dor,Frans,Dor,m,Rotterdam
Lijst_10 50PLUS,,11,R.P.C. Haksel,Robert,Haksel,m,Zoetermeer
Lijst_10 50PLUS,,12,A.E. de Vries,Auke,de Vries,m,'s-Gravenhage
Lijst_10 50PLUS,,13,C.J. Cornet,Hans,Cornet,m,Hillegom
Lijst_10 50PLUS,,14,M.D.M. Bom,Madzy,Bom,v,Rotterdam
Lijst_10 50PLUS,,15,J.R. Nagel,Joke,Nagel,v,'s-Gravenhage
Lijst_10 50PLUS,,16,F.T. Frietema de Vries,Femke,Frietema de Vries,v,Voorschoten
Lijst_10 50PLUS,,17,A.H.J.F.S. Münninghoff,Alexander,Münninghoff,m,'s-Gravenhage
