title,description,position,full_name,first_name,last_name,gender,place
Lijst_12 Nederland Lokaal,,1,H.P.A. Nawijn,Hilbrand,Nawijn,m,Zoetermeer
Lijst_12 Nederland Lokaal,,2,M.J. de Sutter-Besters,Ria,de Sutter-Besters,v,Rozenburg
Lijst_12 Nederland Lokaal,,3,R. Lammers,Ruud,Lammers,m,Papendrecht
Lijst_12 Nederland Lokaal,,4,D. Jense,Dick,Jense,m,Rijswijk
Lijst_12 Nederland Lokaal,,5,S.C. de Kluis,Susan,de Kluis,v,Berkel en Rodenrijs
Lijst_12 Nederland Lokaal,,6,B.G. Paulides,Ben,Paulides,m,Wassenaar
Lijst_12 Nederland Lokaal,,7,A.M.E. van Hulst-Sundermeijer,Marga,van Hulst-Sundermeijer,v,Nieuw-Beijerland
Lijst_12 Nederland Lokaal,,8,N. Kaya,Necat,Kaya,m,Rotterdam
Lijst_12 Nederland Lokaal,,9,C.H. Buijs-Oschatz,Cheryta,Buijs-Oschatz,v,Bleiswijk
Lijst_12 Nederland Lokaal,,10,E.R. Arnold,Ed,Arnold,m,Rotterdam
Lijst_12 Nederland Lokaal,,11,H.H. Oudman,Hendrik,Oudman,m,Krimpen aan den IJssel
Lijst_12 Nederland Lokaal,,12,J. Ouwens,Hanneke,Ouwens,v,Dordrecht
Lijst_12 Nederland Lokaal,,13,P.A. van der Drift,Pieter,van der Drift,m,Wassenaar
Lijst_12 Nederland Lokaal,,14,J. Faber,Jaap,Faber,m,Rotterdam
Lijst_12 Nederland Lokaal,,15,M. Speelman,Mart,Speelman,m,Pernis Rotterdam
Lijst_12 Nederland Lokaal,,16,T. Meijdam,Teus,Meijdam,m,Leerdam
Lijst_12 Nederland Lokaal,,17,H.R. van Biemen,Henk,van Biemen,m,Rijswijk
Lijst_12 Nederland Lokaal,,18,C.G.Q. Buijs,Cor,Buijs,m,Rotterdam
Lijst_12 Nederland Lokaal,,19,A.J. Rosa,Anita,Rosa,v,Rijswijk
Lijst_12 Nederland Lokaal,,20,H.J. Rigter,Helmich,Rigter,m,Rotterdam
Lijst_12 Nederland Lokaal,,21,W.M. de Korte,Willem,de Korte,m,Rijswijk
Lijst_12 Nederland Lokaal,,22,J. van den Hoek,Jan,van den Hoek,m,Maassluis
Lijst_12 Nederland Lokaal,,23,W.P. van Gerdingen,Wim,van Gerdingen,m,Rotterdam
Lijst_12 Nederland Lokaal,,24,H. Luijendijk,Bert,Luijendijk,m,Krimpen aan den IJssel
Lijst_12 Nederland Lokaal,,25,J.M. de Koning,Jan,de Koning,m,Gouda
Lijst_12 Nederland Lokaal,,26,A. Los,Ad,Los,m,Ridderkerk
Lijst_12 Nederland Lokaal,,27,G.P. van As,Gerard,van As,m,Alphen aan den Rijn
Lijst_12 Nederland Lokaal,,28,W. Pannekoek,Wiebe,Pannekoek,m,Spijkenisse
Lijst_12 Nederland Lokaal,,29,M.H.J.M. Stoelinga,Martin,Stoelinga,m,Delft
Lijst_12 Nederland Lokaal,,30,J.P. de Wit,Jan Peter,de Wit,m,Delft
Lijst_12 Nederland Lokaal,,31,J.J. van Noort,José,van Noort,v,Geervliet
Lijst_12 Nederland Lokaal,,32,W.A.A. Middendorp,Wim,Middendorp,m,Hoogvliet Rotterdam
Lijst_12 Nederland Lokaal,,33,J.A.M. Hendriks,Jos,Hendriks,m,'s-Gravenhage
Lijst_12 Nederland Lokaal,,34,B.G. Euser,Bert,Euser,m,Albrandswaard
