title,description,position,full_name,first_name,last_name,gender,place
Lijst_5 SP (Socialistische Partij),,1,P.L. Vermeulen,Bart,Vermeulen,m,Leiden
Lijst_5 SP (Socialistische Partij),,2,R. van Aelst,Lies,van Aelst,v,Gorinchem
Lijst_5 SP (Socialistische Partij),,3,F.J. Hoogendam,Frank Johan,Hoogendam,m,Delft
Lijst_5 SP (Socialistische Partij),,4,M.L. Soares,Luiza,Soares,v,Rotterdam
Lijst_5 SP (Socialistische Partij),,5,J. Slooter,Hans,Slooter,m,Gouda
Lijst_5 SP (Socialistische Partij),,6,G.J. Snellink,Jerry,Snellink,m,'s-Gravenhage
Lijst_5 SP (Socialistische Partij),,7,H.W. van Wel,Leonie,van Wel,v,Capelle aan den IJssel
Lijst_5 SP (Socialistische Partij),,8,W.M. Metselaar,Wim,Metselaar,m,Zoetermeer
Lijst_5 SP (Socialistische Partij),,9,M.P. Verburgh-van Raavens,Riene,Verburgh-van Raavens,v,Puttershoek
Lijst_5 SP (Socialistische Partij),,10,E.R. de Bakker,Eva,de Bakker,v,Leiden
Lijst_5 SP (Socialistische Partij),,11,A. Meijer,Alfred,Meijer,m,Dordrecht
Lijst_5 SP (Socialistische Partij),,12,M.L. de Pijper,Maarten,de Pijper,m,Brielle
Lijst_5 SP (Socialistische Partij),,13,E.T.M. Meijer,Erik,Meijer,m,Rotterdam
Lijst_5 SP (Socialistische Partij),,14,C.M. van Galen-Oostrum,Karin,van Galen-Oostrum,v,Pijnacker
Lijst_5 SP (Socialistische Partij),,15,F. Menzel,Frank,Menzel,m,Rotterdam
Lijst_5 SP (Socialistische Partij),,16,M. Khalil,Jewana,Khalil,v,Naaldwijk
Lijst_5 SP (Socialistische Partij),,17,A.M. van Zanten,Guus,van Zanten,m,Spijkenisse
Lijst_5 SP (Socialistische Partij),,18,J.J.C. Löke,Jolanda,Löke,v,Vlaardingen
Lijst_5 SP (Socialistische Partij),,19,D. Roggeveen,Dave,Roggeveen,m,Benthuizen
Lijst_5 SP (Socialistische Partij),,20,J.T. Wijnkoop,Joop,Wijnkoop,m,Ter Aar
Lijst_5 SP (Socialistische Partij),,21,B.R. Vos,Bart,Vos,m,Hillegom
Lijst_5 SP (Socialistische Partij),,22,L.J.C. van Ree,Loes,van Ree,v,Bodegraven
Lijst_5 SP (Socialistische Partij),,23,M. Huijgens-Gorlee,Merel,Huijgens-Gorlee,v,Bergschenhoek
Lijst_5 SP (Socialistische Partij),,24,R.J.M. de Reuver,Rob,de Reuver,m,Katwijk
Lijst_5 SP (Socialistische Partij),,25,N. Lepelaar,Nurhaya,Lepelaar,v,'s-Gravenhage
Lijst_5 SP (Socialistische Partij),,26,C.P. Steijn,Carel,Steijn,m,Wateringen
Lijst_5 SP (Socialistische Partij),,27,M.B.E. Bierlee,Mandy,Bierlee,v,Heerjansdam
Lijst_5 SP (Socialistische Partij),,28,J.N. Schriek,Jo,Schriek,m,Alphen aan den Rijn
Lijst_5 SP (Socialistische Partij),,29,D. Kroon,Daan,Kroon,m,Hazerswoude-Dorp
Lijst_5 SP (Socialistische Partij),,30,I. Boujdi,Ilyas,Boujdi,m,Rotterdam
Lijst_5 SP (Socialistische Partij),,31,A.J. Hoekstra,Arnout,Hoekstra,m,Vlaardingen
Lijst_5 SP (Socialistische Partij),,32,R.A. van Gelderen,Roos,van Gelderen,v,Leiden
Lijst_5 SP (Socialistische Partij),,33,H. van Leeuwen,Hans,van Leeuwen,m,Leidschendam-Voorburg
Lijst_5 SP (Socialistische Partij),,34,B.D. Lugthart,Björn,Lugthart,m,Rijswijk
Lijst_5 SP (Socialistische Partij),,35,E.L. Dansen,Eva,Dansen,v,Gorinchem
Lijst_5 SP (Socialistische Partij),,36,A. van Steenderen,Alexander,van Steenderen,m,Schiedam
Lijst_5 SP (Socialistische Partij),,37,H.A. Muller,André,Muller,m,Nieuwerkerk aan den IJssel
Lijst_5 SP (Socialistische Partij),,38,F. Vergeer-Mudde,Fenna,Vergeer-Mudde,v,Leiden
Lijst_5 SP (Socialistische Partij),,39,R.A. Janssen,Rik,Janssen,m,Wassenaar
Lijst_5 SP (Socialistische Partij),,40,H.F.A. van der Nat,Harre,van der Nat,m,Koudekerk aan den Rijn
