title,description,position,full_name,first_name,last_name,gender,place
Lijst_13 Libertarische Partij (LP),,1,K.P.G.H. Winkelaar,Kim,Winkelaar,,Aarlanderveen
Lijst_13 Libertarische Partij (LP),,2,L.W. de Rijke,Leendert,de Rijke,,Rotterdam
Lijst_13 Libertarische Partij (LP),,3,J.G.M. van Ginkel,Juan,van Ginkel,,Waddinxveen
Lijst_13 Libertarische Partij (LP),,4,A.C. Verbrugh,Arne,Verbrugh,,Rotterdam
Lijst_13 Libertarische Partij (LP),,5,W.Q. Backhuijs,Quintus,Backhuijs,,Leiden
Lijst_13 Libertarische Partij (LP),,6,L.C. Teijema,Lukas,Teijema,,Oegstgeest
Lijst_13 Libertarische Partij (LP),,7,S.F.P. Koopmans,Pallieter,Koopmans,,Rotterdam
Lijst_13 Libertarische Partij (LP),,8,H.R. Sturman,Henry,Sturman,,'s-Gravenhage
Lijst_13 Libertarische Partij (LP),,9,F. Ootjers,Frans,Ootjers,,Rotterdam
Lijst_13 Libertarische Partij (LP),,10,T.T.A.J. Manders,Toine,Manders,,Limassol (CY)
