title,description,position,full_name,first_name,last_name,gender,place
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,1,C.P. Schrama,Kees,Schrama,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,2,A.H. van Ginkel-Lanting,Anita,van Ginkel-Lanting,v,Katwijk
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,3,J.L. van Driel,Johan,van Driel,m,Nieuw-Beijerland
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,4,A.J. Sundermeijer,Ton,Sundermeijer,m,Nieuw-Beijerland
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,5,R.M. ten Boden,Rob,ten Boden,m,Sassenheim
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,6,P.M. van Teylingen-Roest,Paula,van Teylingen-Roest,v,Oegstgeest
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,7,G. Korevaar,Gijs,Korevaar,m,Nieuwe Wetering
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,8,J.C.P. de Moor,Jaap,de Moor,m,Noordwijkerhout
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,9,D.J.G. Sloos,Daan,Sloos,m,Leiden
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,10,C.J.M. Schippers,Kirsten,Schippers,v,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,11,B.M. Moonen,Björn,Moonen,m,Katwijk
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,12,R.F.J. Veldhoven,Rob,Veldhoven,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,13,S. Aktaş,Samiye,Aktaş,v,'s-Gravenhage
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,14,J.P. van den Berg,Sjaak,van den Berg,m,Noordwijkerhout
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,15,S.M. Vink,Sylvia,Vink,v,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,16,J.J. van den Broek,Jaap,van den Broek,m,Oegstgeest
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,17,R.T.P. Brouwer,Richard,Brouwer,m,Noordwijkerhout
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,18,P. van Dijk,Petra,van Dijk,v,Katwijk
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,19,J.G. de Bruin,John,de Bruin,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,20,F.G. Bos,Frans,Bos,m,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,21,A.A.D. Kenney,Aleydis,Kenney,v,'s-Gravenhage
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,22,F.R. van Dissel,Frits,van Dissel,m,Oegstgeest
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,23,E.C.M. van der Geest-Wijsman,Elly,van der Geest-Wijsman,v,Warmond
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,24,C.G. de Groot,Cor,de Groot,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,25,H.H.T. Bax,Hilde,Bax,v,Leimuiden
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,26,C.J. Bulsing,Kees,Bulsing,m,'s-Gravenhage
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,27,A.M. de Klerk,Albert,de Klerk,m,Katwijk
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,28,M.F.W. van der Laan,Michael,van der Laan,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,29,N.S. van der Lans,Nico,van der Lans,m,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,30,J. Meinsma,Jaap,Meinsma,m,Lisse
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,31,A. Paardekooper,Anne,Paardekooper,v,Voorhout
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,32,S.I. Peters,Stephan,Peters,m,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,33,D.I.H.M. Piket,Dion,Piket,m,Sassenheim
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,34,W.F.M. Schippers-van Rhee,Helma,Schippers-van Rhee,v,Waddinxveen
Lijst_14 Verenigde Lokale Partijen Zuid-Holland,,35,W. Verheijden,Wouter,Verheijden,m,'s-Gravenhage
