title,description,position,full_name,first_name,last_name,gender,place
Lijst_7 GROENLINKS,,1,H. Sahin,Huri,Sahin,v,Zoetermeer
Lijst_7 GROENLINKS,,2,B.K. Potjer,Berend,Potjer,m,'s-Gravenhage
Lijst_7 GROENLINKS,,3,A. van Hunnik,Anneloes,van Hunnik,v,Sommelsdijk
Lijst_7 GROENLINKS,,4,R. Klumpes,Robert,Klumpes,m,Rotterdam
Lijst_7 GROENLINKS,,5,J.P. Laurier,Jan,Laurier,m,Leiden
Lijst_7 GROENLINKS,,6,F. Joester,Frauke,Joester,v,Leiderdorp
Lijst_7 GROENLINKS,,7,P. van Lange,Petra,van Lange,v,Moordrecht
Lijst_7 GROENLINKS,,8,M. Vissers,Marcel,Vissers,m,Delft
Lijst_7 GROENLINKS,,9,M. van Driel,Melanie,van Driel,v,Alphen aan den Rijn
Lijst_7 GROENLINKS,,10,C.M. Ottevanger,Cees,Ottevanger,m,Rotterdam
Lijst_7 GROENLINKS,,11,J.E. Molier,Jeannine,Molier,v,'s-Gravenhage
Lijst_7 GROENLINKS,,12,F.F. van Keeren,Frank Fabian,van Keeren,m,Leiden
Lijst_7 GROENLINKS,,13,P. van Noort,Prescillia,van Noort,v,Leiden
Lijst_7 GROENLINKS,,14,E.M. van der Kroft,Erik,van der Kroft,m,Rotterdam
Lijst_7 GROENLINKS,,15,R.E. Noorduyn,Ruth,Noorduyn,v,Gouda
Lijst_7 GROENLINKS,,16,A.J.F. Kapteijns,Arjen,Kapteijns,m,'s-Gravenhage
Lijst_7 GROENLINKS,,17,S. Hol,Sandra,Hol,v,Oud-Beijerland
Lijst_7 GROENLINKS,,18,U.S. Cengiz,Sinan,Cengiz,m,Leiden
Lijst_7 GROENLINKS,,19,T. Augustijn,Tessa,Augustijn,v,Barendrecht
Lijst_7 GROENLINKS,,20,H. Wardenaar,Henk,Wardenaar,m,'s-Gravenhage
Lijst_7 GROENLINKS,,21,A. Veenstra,Amelie,Veenstra,v,Rotterdam
Lijst_7 GROENLINKS,,22,L. Maat,Leo,Maat,m,Wassenaar
Lijst_7 GROENLINKS,,23,M.L.A. Min,Marlou,Min,v,Bodegraven
Lijst_7 GROENLINKS,,24,J.A.R.M. van Egmond,Annelies,van Egmond,v,Leerbroek
Lijst_7 GROENLINKS,,25,J.H. Bos,Jan Hendrik,Bos,m,Rotterdam
Lijst_7 GROENLINKS,,26,K.T.A.M. Verbaken,Karin,Verbaken,v,Leiden
Lijst_7 GROENLINKS,,27,A.J. Rijsdijk,Arjen,Rijsdijk,m,Gorinchem
Lijst_7 GROENLINKS,,28,M.H. Baneke,Mirja,Baneke,v,'s-Gravenhage
Lijst_7 GROENLINKS,,29,A.B. Blokhuizen,Alfred,Blokhuizen,m,Spijkenisse
Lijst_7 GROENLINKS,,30,F.L.E. Carelsen,Francis,Carelsen,v,'s-Gravenhage
Lijst_7 GROENLINKS,,31,A.J. Bosch,Arjan,Bosch,m,Schiedam
Lijst_7 GROENLINKS,,32,S.C.C.M. Bolten,Saskia,Bolten,v,Steenbergen
Lijst_7 GROENLINKS,,33,D. Toet,Dik,Toet,m,Leiden
Lijst_7 GROENLINKS,,34,M. Wiebosch-Steeman,Maria,Wiebosch-Steeman,v,Hardinxveld-Giessendam
Lijst_7 GROENLINKS,,35,A. Bakker,Adri,Bakker,m,Dordrecht
Lijst_7 GROENLINKS,,36,M.G.T. Kleijweg,Marijke,Kleijweg,v,Voorschoten
