title,description,position,full_name,first_name,last_name,gender,place
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,1,S. Stoop,Servaas,Stoop,m,Dirksland
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,2,H. van Dieren,Henk,van Dieren,m,Lexmond
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,3,C. van der Velden,Chris,van der Velden,m,Krimpen aan den IJssel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,4,J.K. Matze,Johan,Matze,m,Nieuw-Beijerland
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,5,C.P.W. van den Berg,Peter,van den Berg,m,Waddinxveen
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,6,W.J. van Duijn,Wim,van Duijn,m,Katwijk
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,7,H. Herweijer,Hendrik,Herweijer,m,Dirksland
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,8,A.D. van der Wulp,Adriaan,van der Wulp,m,'s-Gravendeel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,9,C.N. de Jager,Nico,de Jager,m,Sliedrecht
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,10,A.T. van der Wulp,Anthony,van der Wulp,m,'s-Gravendeel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,11,G.P. Schipaanboord,Geert,Schipaanboord,m,Leiderdorp
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,12,P.A. Zevenbergen,Peter,Zevenbergen,m,Alblasserdam
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,13,J.N. Rozendaal,Jan Nathan,Rozendaal,m,Papendrecht
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,14,T.A. Stoop,Teunis,Stoop,m,Hendrik-Ido-Ambacht
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,15,D.J.H. van Dijk,Diederik,van Dijk,m,Benthuizen
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,16,J.L. van den Heuvel,Jan Leendert,van den Heuvel,m,Bodegraven
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,17,H. Akkerman,Harmen,Akkerman,m,Gorinchem
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,18,W.J. Vroegindeweij,Wouter-Jan,Vroegindeweij,m,Katwijk
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,19,P.M.D. Weijers,Pieter,Weijers,m,Capelle aan den IJssel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,20,C.A. Egas,Corné,Egas,m,Bleskensgraaf ca
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,21,M.P. de Graaf,Martin,de Graaf,m,Delft
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,22,E.J. Nieuwenhuis,Evert Jan,Nieuwenhuis,m,Lisse
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,23,J. de Vos,Jan,de Vos,m,Hardinxveld-Giessendam
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,24,M.J.W. Hoek,Rien,Hoek,m,Gouda
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,25,W. Anker,William,Anker,m,Vlaardingen
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,26,P.C. Grinwis,Peter,Grinwis,m,Ouddorp
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,27,A. van der Wende,André,van der Wende,m,Berkenwoude
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,28,J.S. Breedveld,John,Breedveld,m,Barendrecht
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,29,V.A. Smit,Volbregt,Smit,m,Ridderkerk
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,30,J.A. Schippers,Jan,Schippers,m,Rotterdam
