title,description,position,full_name,first_name,last_name,gender,place
Lijst_1 VVD,,1,F. Vermeulen,Floor,Vermeulen,m,Boskoop
Lijst_1 VVD,,2,C.M.C. van den Berg,Christelle,van den Berg,v,Rotterdam
Lijst_1 VVD,,3,R.A.M. van der Sande,Rogier,van der Sande,m,Leiden
Lijst_1 VVD,,4,J. van Staalduinen,Jan-Paul,van Staalduinen,m,Den Hoorn
Lijst_1 VVD,,5,M.I. van Dobben de Bruijn,Marijke,van Dobben de Bruijn,v,Leiden
Lijst_1 VVD,,6,T.L. Brill,Tiemen,Brill,m,'s-Gravenhage
Lijst_1 VVD,,7,L. Bonnevits-de Jong,Laurine,Bonnevits-de Jong,v,Berkel en Rodenrijs
Lijst_1 VVD,,8,M.W. Ludema,Marcel,Ludema,m,Rotterdam
Lijst_1 VVD,,9,R.M.L. Nelisse,Mirjam,Nelisse,v,Dirksland
Lijst_1 VVD,,10,R.F. Weide,Rense,Weide,m,'s-Gravenhage
Lijst_1 VVD,,11,S.A. Kurvers,Bas,Kurvers,m,Sliedrecht
Lijst_1 VVD,,12,F.A. Paymans,Frits,Paymans,m,Nieuwkoop
Lijst_1 VVD,,13,M. Hosseini,Masoumah,Hosseini,v,'s-Gravenhage
Lijst_1 VVD,,14,G.A. de Vries,Ben,de Vries,m,Nootdorp
Lijst_1 VVD,,15,J. van Poeteren,Hans,van Poeteren,m,Rotterdam
Lijst_1 VVD,,16,L.Y. Wilson-Verboom,Lida,Wilson-Verboom,v,Rijswijk
Lijst_1 VVD,,17,P.T. van Woensel,Pieter,van Woensel,m,Leiden
Lijst_1 VVD,,18,A.Y.D. van Hensbergen,Antal,van Hensbergen,m,'s-Gravenhage
Lijst_1 VVD,,19,M.S.C.M. Teeuwen,Michiel,Teeuwen,m,Oegstgeest
Lijst_1 VVD,,20,H.P. van Kampen,Harbrecht,van Kampen,m,Alphen aan den Rijn
Lijst_1 VVD,,21,J.T.H. van Rossum,Martin,van Rossum,m,Hardinxveld-Giessendam
Lijst_1 VVD,,22,C.P. Duinmaijer,Christiaan,Duinmaijer,m,'s-Gravenhage
Lijst_1 VVD,,23,C.H.C. van Steensel-van Hage,Ineke,van Steensel-van Hage,v,Sassenheim
Lijst_1 VVD,,24,E.M.F. Jarmohamed,Eric,Jarmohamed,m,Rotterdam
Lijst_1 VVD,,25,W.A.M. Jitan,Vijay,Jitan,m,'s-Gravenhage
Lijst_1 VVD,,26,M.D. Ugur,Muzafer,Ugur,m,Rotterdam
Lijst_1 VVD,,27,M.G.J. Hagen,Marck,Hagen,m,Den Hoorn
Lijst_1 VVD,,28,M.A. Houtzager,Marcel,Houtzager,m,Voorburg
Lijst_1 VVD,,29,R. Batelaan,Roel,Batelaan,m,'s-Gravenzande
Lijst_1 VVD,,30,E.C. de Heer-Coenradie,Elly,de Heer-Coenradie,v,Rotterdam
Lijst_1 VVD,,31,T.A. Ras,Teja,Ras,v,Stolwijk
Lijst_1 VVD,,32,M.P. Hendriks,Matthijs,Hendriks,m,Voorschoten
Lijst_1 VVD,,33,E. Hoenderop,Esther,Hoenderop,v,Rotterdam
Lijst_1 VVD,,34,M.M.H. Schulte,Marleen,Schulte,v,'s-Gravenhage
Lijst_1 VVD,,35,E. Veenstra,Bert,Veenstra,m,Spijkenisse
Lijst_1 VVD,,36,D. Heuvelman,Dick,Heuvelman,m,Numansdorp
Lijst_1 VVD,,37,D.T.J. Hijkoop,Dennis,Hijkoop,m,Waddinxveen
Lijst_1 VVD,,38,E.R. Kampinga,Eric,Kampinga,m,Bergschenhoek
Lijst_1 VVD,,39,L.F.M. Crouwers,Bart,Crouwers,m,Haastrecht
Lijst_1 VVD,,40,J.W.C.B. Schotel,Jan Willem,Schotel,m,Zoetermeer
Lijst_1 VVD,,41,J.H. Krijger,Jacob,Krijger,m,Rotterdam
Lijst_1 VVD,,42,S. Hoekstra,Simon,Hoekstra,m,'s-Gravenhage
Lijst_1 VVD,,43,M. Jansen,Martin,Jansen,m,Rotterdam
Lijst_1 VVD,,44,R. van de Zande,Ruben,van de Zande,m,Vlaardingen
Lijst_1 VVD,,45,I.G.M. de Bondt,Ingrid,de Bondt,v,Wassenaar
