title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,1,J.W. Dulfer,Wiegert,Dulfer,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,2,M.A.A. Di Bucchianico-Bakker,Marion,Di Bucchianico-Bakker,v,Weesp
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,3,S.E. Mager,Sander,Mager,m,Amstelveen
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,4,J. Hoek,Jan,Hoek,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,5,M. Quené,Marjolein,Quené,v,Hilversum
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,6,H.J.P. Penders,Harrie,Penders,m,Naarden
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,7,E.H.M. Tettero,Liesbeth,Tettero,v,Tienhoven
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,8,T.M. Bronner,Thirza,Bronner,v,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,9,M.M. Sluiter,Mimy,Sluiter,v,Bussum
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,10,A.E. Schutte,Anna,Schutte,v,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,11,F. Osinga,Yvette,Osinga,v,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,12,M. van der Marel,Marjolein,van der Marel,v,Huizen
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,13,M.J. Ruis,Michiel,Ruis,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,14,R.M. van Dijk,Ricardo,van Dijk,m,Nigtevecht
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,15,J.J.H. Mineur,Jacqueline,Mineur,v,Hilversum
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,16,B. van Moerkerken,Bruno,van Moerkerken,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,17,R.F. van Dijk,Rick,van Dijk,m,Vinkeveen
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,18,E.Y. van Zanten,Elwyn,van Zanten,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,19,P. Rietman,Pieter,Rietman,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,20,L. Hüttig,Luuk,Hüttig,m,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,21,F. de Pater,Florrie,de Pater,v,Amsterdam
Lijst 1 Water Natuurlijk,Gecombineerd met Algemene Waterschapspartij,22,R.P. ten Have,Rick,ten Have,m,Amsterdam
