title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 Partij van de Arbeid (P.v.d.A.),,1,H.J.J. van Vliet-Smit,Leny,van Vliet-Smit,v,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,2,R.A. Steenwinkel-Zhang,Rolf,Steenwinkel-Zhang,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,3,M.L.A. Sikkens,Mirugia,Sikkens,v,Diemen
Lijst 2 Partij van de Arbeid (P.v.d.A.),,4,E.J. de Vries-Sandoval Taco,Egbert,de Vries-Sandoval Taco,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,5,B.H. de Buisonjé,Bea,de Buisonjé,v,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,6,G.J. Wisse,Gerjet,Wisse,m,Kockengen
Lijst 2 Partij van de Arbeid (P.v.d.A.),,7,R. Kaas,Reinie,Kaas,v,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,8,C.T.E.M. Maasdijk,Linda,Maasdijk,v,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,9,H.L.F.B. van der Putten,Eric,van der Putten,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,10,F.F. van Drooge,Femke,van Drooge,v,Hilversum
Lijst 2 Partij van de Arbeid (P.v.d.A.),,11,L. Burgers,Lourens,Burgers,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,12,N.C. Portegijs,Nico,Portegijs,m,Diemen
Lijst 2 Partij van de Arbeid (P.v.d.A.),,13,F.A.M. Winnubst,Fred,Winnubst,m,Muiden
Lijst 2 Partij van de Arbeid (P.v.d.A.),,14,W. Post,Wil,Post,v,Duivendrecht
Lijst 2 Partij van de Arbeid (P.v.d.A.),,15,E.J. van de Wouw,Erick,van de Wouw,m,Blaricum
Lijst 2 Partij van de Arbeid (P.v.d.A.),,16,J. Kappert,Koos,Kappert,m,Weesp
Lijst 2 Partij van de Arbeid (P.v.d.A.),,17,V. Nilsson,Valentijn,Nilsson,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,18,A.M.C.A. Wooldrik-van Schooten,Annemarijke,Wooldrik-van Schooten,v,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,19,M.H.J. van der Heijde,Manfred,van der Heijde,m,Amsterdam
Lijst 2 Partij van de Arbeid (P.v.d.A.),,20,M.J. Cohen,Job,Cohen,m,Amsterdam
