title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 CDA,,1,W.C. Zwanenburg,Wim,Zwanenburg,m,Naarden
Lijst 4 CDA,,2,G.C.M. Korrel,Gerard,Korrel,m,Ouderkerk aan de Amstel
Lijst 4 CDA,,3,N.J. de Jong,Nico,de Jong,m,Vreeland
Lijst 4 CDA,,4,A. Yorulmaz,Ahmet,Yorulmaz,m,Hilversum
Lijst 4 CDA,,5,H.H. van den Broek,Henk,van den Broek,m,Westbroek
Lijst 4 CDA,,6,R.J.T. Wever,Ron,Wever,m,Kortenhoef
Lijst 4 CDA,,7,T.E. Nell,Thijs,Nell,m,Muiden
Lijst 4 CDA,,8,M. Meijer,Marten,Meijer,m,Blaricum
Lijst 4 CDA,,9,T.H. Visser,Teun,Visser,m,Amsterdam
Lijst 4 CDA,,10,J.J. Overbeek,Jaap,Overbeek,m,Kudelstaart
Lijst 4 CDA,,11,G. Helling-Zeisseink,Gera,Helling-Zeisseink,v,Loenen aan de Vecht
Lijst 4 CDA,,12,C.G. de Veth,Christiaan,de Veth,m,Amstelveen
Lijst 4 CDA,,13,N.P.M. de Dood,Nico,de Dood,m,Waverveen
Lijst 4 CDA,,14,J.J. van der Hoeven,Jean,van der Hoeven,m,Weesp
Lijst 4 CDA,,15,M.C.I. van der Werf,Marieke,van der Werf,v,Amsterdam
Lijst 4 CDA,,16,C.P. Nelis,Kees,Nelis,m,Weesp
Lijst 4 CDA,,17,H.B. Burggraaff,Hans,Burggraaff,m,Weesp
Lijst 4 CDA,,18,J. van Ee,Jacob,van Ee,m,Maarssen
Lijst 4 CDA,,19,G.A. van den Berkhof,Gerrit Jan,van den Berkhof,m,Breukelen
Lijst 4 CDA,,20,M.D. van Eijk,Marina,van Eijk,v,Duivendrecht
Lijst 4 CDA,,21,B.P.T. van Wonderen,Barend,van Wonderen,m,Amsterdam
Lijst 4 CDA,,22,A.C.M. Smits,Andre,Smits,m,Uithoorn
Lijst 4 CDA,,23,P. Roos,Peter,Roos,m,Ouderkerk aan de Amstel
Lijst 4 CDA,,24,N. Aoulad Bouchta,Nahid,Aoulad Bouchta,v,Uithoorn
Lijst 4 CDA,,25,M. Postma,Martje,Postma,v,Amsterdam
Lijst 4 CDA,,26,W.A.M. van Waes,Wilbert,van Waes,m,Bussum
Lijst 4 CDA,,27,F.F.L. Vlak,Florent,Vlak,m,Blaricum
Lijst 4 CDA,,28,C.M.A. van Hest,Carel,van Hest,m,Laren
Lijst 4 CDA,,29,P.A.M. de Groot,Petra,de Groot,v,Amstelveen
Lijst 4 CDA,,30,C.G. Vos,Clary,Vos,v,Huizen
Lijst 4 CDA,,31,H.J. de Hollander,Herman,de Hollander,m,Naarden
Lijst 4 CDA,,32,J. Verbruggen,Jan,Verbruggen,m,'s-Graveland
Lijst 4 CDA,,33,M.R.H. van Lanschot,Maes,van Lanschot,m,Amsterdam
Lijst 4 CDA,,34,G.J. van Mansom,Gert,van Mansom,m,Diemen
Lijst 4 CDA,,35,S.M. Hommerson,Susan,Hommerson,v,Amsterdam
Lijst 4 CDA,,36,B.L. Jonker,Ben,Jonker,m,Amstelveen
Lijst 4 CDA,,37,R.H. Rebel,Rutger,Rebel,m,Huizen
Lijst 4 CDA,,38,R. Woudsma,Ruben,Woudsma,m,Huizen
Lijst 4 CDA,,39,L.J. de Vré,Luuk,de Vré,m,Duivendrecht
Lijst 4 CDA,,40,G.C. Knoop,Gerard,Knoop,m,Blaricum
Lijst 4 CDA,,41,J.A.I. de Lange,Jos,de Lange,m,Bussum
Lijst 4 CDA,,42,A.R. Nasserie,Amandhalia,Nasserie,v,Amstelveen
Lijst 4 CDA,,43,J.B.M. Beukeboom,Jan,Beukeboom,m,Ouderkerk aan de Amstel
Lijst 4 CDA,,44,H.J.W. van den Berg,Erwin,van den Berg,m,Laren
Lijst 4 CDA,,45,U.J. Poolman Simons,Udo,Poolman Simons,m,Blaricum
Lijst 4 CDA,,46,K.C. Piening,Krijn,Piening,m,Diemen
Lijst 4 CDA,,47,H. Sonneveld,Bert,Sonneveld,m,Bussum
