title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 Recreatie Wonen en Water,,1,A.A.A. Vendrig,Ton,Vendrig,m,Nederhorst den Berg
Lijst 9 Recreatie Wonen en Water,,2,J.C. van Waveren,Jaap,van Waveren,m,Loosdrecht
Lijst 9 Recreatie Wonen en Water,,3,D. Pos,David,Pos,m,Ankeveen
Lijst 9 Recreatie Wonen en Water,,4,A. Krook,Ab,Krook,m,Loosdrecht
Lijst 9 Recreatie Wonen en Water,,5,H.C. Heerschop,Karen,Heerschop,v,Hilversum
Lijst 9 Recreatie Wonen en Water,,6,W.F. van Voorthuizen,Friso,van Voorthuizen,m,Ankeveen
Lijst 9 Recreatie Wonen en Water,,7,J.W.M. van Wijk,Jos,van Wijk,m,Vinkeveen
Lijst 9 Recreatie Wonen en Water,,8,A.C. Klaassen,Annetta,Klaassen,v,Weesp
Lijst 9 Recreatie Wonen en Water,,9,W. Broer,Wim,Broer,m,Hilversum
Lijst 9 Recreatie Wonen en Water,,10,K. Bolt,Koen,Bolt,m,Vinkeveen
Lijst 9 Recreatie Wonen en Water,,11,F. Goos,Freek,Goos,m,Nederhorst den Berg
Lijst 9 Recreatie Wonen en Water,,12,R.P.T. van Zanten,Rob,van Zanten,m,Amsterdam
Lijst 9 Recreatie Wonen en Water,,13,D. Keuning,Doede,Keuning,m,Weesp
