title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 CDA,,1,B. de Jong,Bernard,de Jong,m,Woerden
Lijst 2 CDA,,2,K.P.T. Valk,Kaj,Valk,m,Bilthoven
Lijst 2 CDA,,3,J.A.G.W. Droogers,Ko,Droogers,m,Kamerik
Lijst 2 CDA,,4,T.L. de Roos,Theo,de Roos,m,Lopik
Lijst 2 CDA,,5,J.M. Keestra,Koos,Keestra,m,Zeist
Lijst 2 CDA,,6,A.B.M. Tiggeloven,André,Tiggeloven,m,Montfoort
Lijst 2 CDA,,7,M.W. Hack,Mart,Hack,m,Nieuwegein
Lijst 2 CDA,,8,J.W. van Wijngaarden,JanWouter,van Wijngaarden,m,Hekendorp
Lijst 2 CDA,,9,J.G.M. van Oostrom,Jeroen,van Oostrom,m,'t Goy
Lijst 2 CDA,,10,E. Smid,Eiko,Smid,m,Utrecht
Lijst 2 CDA,,11,I.M. Schuurman,Idelette,Schuurman,v,Bilthoven
Lijst 2 CDA,,12,J.A.M. Dorresteijn,Joop,Dorresteijn,m,Werkhoven
Lijst 2 CDA,,13,T. Spelt,Teus,Spelt,m,Groenekan
Lijst 2 CDA,,14,J.G. Baars,Jan,Baars,m,Papekop
Lijst 2 CDA,,15,C.I.M. van Wiggen,Cor,van Wiggen,m,Bunnik
Lijst 2 CDA,,16,J.C. de Jong,Johan,de Jong,m,Montfoort
Lijst 2 CDA,,17,J.A. Segers,Koos,Segers,m,Kockengen
Lijst 2 CDA,,18,M.L.A.A. de Bont- de Krom,Marloes,de Bont- de Krom,v,Nieuwegein
