title,description,position,full_name,first_name,last_name,gender,place
Lijst 6 Algemene Waterschapspartij,,1,A.E. Jansen,Albert,Jansen,m,Utrecht
Lijst 6 Algemene Waterschapspartij,,2,E. de Leeuw,Esselien,de Leeuw,v,De Meern
Lijst 6 Algemene Waterschapspartij,,3,H. Nap,Henk,Nap,m,Driebergen-Rijsenburg
Lijst 6 Algemene Waterschapspartij,,4,L.I. Takke,Lizanne,Takke,v,Utrecht
Lijst 6 Algemene Waterschapspartij,,5,C. Dieperink,Carel,Dieperink,m,Utrecht
Lijst 6 Algemene Waterschapspartij,,6,A. Heidema,Andries,Heidema,m,Houten
Lijst 6 Algemene Waterschapspartij,,7,W.G. Vrij-Standhardt,Ineke,Vrij-Standhardt,v,Leersum
Lijst 6 Algemene Waterschapspartij,,8,A.J. van Zutphen,Andre,van Zutphen,m,Kockengen
Lijst 6 Algemene Waterschapspartij,,9,T. Trouwborst,Thomas,Trouwborst,m,Zeist
Lijst 6 Algemene Waterschapspartij,,10,D. Verbaan,Dirk,Verbaan,m,Nieuwegein
Lijst 6 Algemene Waterschapspartij,,11,W. van der Zaag,Wim,van der Zaag,m,Woerden
Lijst 6 Algemene Waterschapspartij,,12,A. Hiemstra,Aly,Hiemstra,v,Utrecht
Lijst 6 Algemene Waterschapspartij,,13,K. Hendriks,Kaj,Hendriks,m,De Bilt
