title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),1,J.P. Verweij,Jaap,Verweij,m,Woerden
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),2,E.W. ten Heuw,Ewout,ten Heuw,m,Utrecht
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),3,H.M. de Leede,Matthijs,de Leede,m,Polsbroek
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),4,M.C. Vader,Rinus,Vader,m,Driebergen-Rijsenburg
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),5,C.Z. Voorberg,Caspar,Voorberg,m,Houten
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),6,D.G.J. Voortman,Daniel,Voortman,m,Nieuwegein
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),7,C.A. Pape-van Genderen,Carolien,Pape-van Genderen,v,IJsselstein
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),8,M. Rus,Martin,Rus,m,Zeist
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),9,B.C. Lont,Bas,Lont,m,Utrecht
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),10,D.A. van Wijnen,Dianne,van Wijnen,v,Doorn
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),11,C. Meijers,Cees,Meijers,m,Kamerik
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),12,L.M. Zuidervaart,Loes,Zuidervaart,v,Utrecht
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),13,A. Kool,Arie,Kool,m,Linschoten
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),14,J.E. van der Meer-Verweij,Joanne,van der Meer-Verweij,v,Odijk
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),15,D. van Utrecht,Daniel,van Utrecht,m,Maartensdijk
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),16,C.A. Oskam,Kees,Oskam,m,Driebruggen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),17,I.C. Roetman,Ike,Roetman,m,Maarssen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),18,M. Benders-Molenaar,Marja,Benders-Molenaar,v,Oudewater
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),19,N. Drost,Nico,Drost,m,Rhenen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),20,G. Taute,Gerrit,Taute,m,Wijk bij Duurstede
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),21,H.C. Snoek,Hugo,Snoek,m,Vlist
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),22,J. Wijmenga,Jan,Wijmenga,m,Utrecht
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),23,J.H. Meijer,Jan,Meijer,m,Montfoort
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),24,J.A.D. Dijkstra-Bulk,Anne-Marij,Dijkstra-Bulk,v,Zegveld
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),25,P.G. van Kesteren,Piet,van Kesteren,m,Benschop
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),26,P.W. Bos,Piet,Bos,m,Kockengen
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),27,C.M. van der Grift,Martin,van der Grift,m,Bilthoven
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),28,C.J. van Kranenburg,Kees,van Kranenburg,m,Driebergen-Rijsenburg
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),29,A.J. Schaddelee,Arne,Schaddelee,m,Houten
Lijst 7 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),30,R. Broekema,Rinze,Broekema,m,Utrecht
