title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),1,I.J.A. ter Woorst,Ingrid,ter Woorst,v,Delft
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),2,M.W. Belt,Marcel,Belt,m,Voorburg
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),3,L.W. Nanninga,Lars,Nanninga,m,'s-Gravenhage
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),4,K. Bebelaar,Karen,Bebelaar,v,Rotterdam
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),5,J.H. Beckers,Anny,Beckers,v,Pijnacker-Nootdorp
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),6,J.P. Jansen Verplanke,Joke,Jansen Verplanke,v,'s-Gravenhage
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),7,C. Clement,Kees,Clement,m,Vlaardingen
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),8,M. Vissers,Marcel,Vissers,m,Delft
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),9,H.M. van der Werff,Riëtte,van der Werff,v,'s-Gravenhage
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),10,R. Kleefman,Richard,Kleefman,m,Maasdijk
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),11,M.G.A. Storm,Martje,Storm,v,'s-Gravenhage
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),12,J. Engels,Jeannine,Engels,v,Monster
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),13,A.F. Daalmijer,Ryanne,Daalmijer,v,Nootdorp
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),14,P. Stienstra,Pieter,Stienstra,m,Delft
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),15,M.A.J.G. van Ruremonde,Marin,van Ruremonde,m,Rijswijk
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),16,J.A. van Dijk,Johan,van Dijk,m,Delft
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),17,J. Verhoeff,Jos,Verhoeff,m,'s-Gravenhage
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),18,M.C.F. Konijn,Mareille,Konijn,v,Delft
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),19,B.E. van der Velde,Ben,van der Velde,m,Vlaardingen
