title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 Algemene Waterschapspartij Delfland,,1,A.J. Middendorp,Hans,Middendorp,m,Voorburg
Lijst 5 Algemene Waterschapspartij Delfland,,2,A.C.J. Jans,Antoinette,Jans,v,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,3,G.A. van der Wedden,Guido,van der Wedden,m,Delft
Lijst 5 Algemene Waterschapspartij Delfland,,4,J. de Nooy,Jan,de Nooy,m,Westland
Lijst 5 Algemene Waterschapspartij Delfland,,5,L.G. Boekestijn,Leo,Boekestijn,m,Westland
Lijst 5 Algemene Waterschapspartij Delfland,,6,J.A. Heijboer,Ko,Heijboer,m,Maassluis
Lijst 5 Algemene Waterschapspartij Delfland,,7,F.L.J. van Kasteren,Frans,van Kasteren,m,Rijswijk
Lijst 5 Algemene Waterschapspartij Delfland,,8,P.J. de Haan,Poul,de Haan,m,Delft
Lijst 5 Algemene Waterschapspartij Delfland,,9,P.P.M. Ruijs,Peter,Ruijs,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,10,J. Heemskerk,Jessie,Heemskerk,v,Rijswijk
Lijst 5 Algemene Waterschapspartij Delfland,,11,J.H. van Put,Sjef,van Put,m,Delft
Lijst 5 Algemene Waterschapspartij Delfland,,12,A.L.C. Janssen,Anton,Janssen,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,13,H.L. Koster,Henry,Koster,m,Rotterdam
Lijst 5 Algemene Waterschapspartij Delfland,,14,A.J.M. van Luijk,Rian,van Luijk,v,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,15,R. Westermann,Reinier,Westermann,m,Rotterdam
Lijst 5 Algemene Waterschapspartij Delfland,,16,R.C. van Wissen,Robin,van Wissen,m,Leidschendam
Lijst 5 Algemene Waterschapspartij Delfland,,17,H.C. van der Helm,Herman,van der Helm,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,18,M. Bon,Maaike,Bon,v,Delft
Lijst 5 Algemene Waterschapspartij Delfland,,19,J.N.P. Haarsma,Hans,Haarsma,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,20,C.A.D.E. Lugassy,Coline,Lugassy,v,Schiedam
Lijst 5 Algemene Waterschapspartij Delfland,,21,A.P. Muizer,Arnoud,Muizer,m,Berkel en Rodenrijs
Lijst 5 Algemene Waterschapspartij Delfland,,22,J.M. Floris,Jeanine,Floris,v,Leidschendam
Lijst 5 Algemene Waterschapspartij Delfland,,23,L. Bouwer,Lammert,Bouwer,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,24,F.A. Perdijk,Frans,Perdijk,m,'s-Gravenhage
Lijst 5 Algemene Waterschapspartij Delfland,,25,D.R. Koolhaas,Rem,Koolhaas,m,Rotterdam
Lijst 5 Algemene Waterschapspartij Delfland,,26,S.W. van der Werf,Sipke,van der Werf,m,Leidschendam
Lijst 5 Algemene Waterschapspartij Delfland,,27,A. Meuleman,Aad,Meuleman,m,Delft
Lijst 5 Algemene Waterschapspartij Delfland,,28,H.J. Kappelle,Jan,Kappelle,m,'s-Gravenhage
