title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Water Natuurlijk,,1,R. Maarschall,Ruud,Maarschall,m,Petten
Lijst 1 Water Natuurlijk,,2,E.M. Tannehill,Eva,Tannehill,v,Hoorn
Lijst 1 Water Natuurlijk,,3,G.P.W. Roosloot,Gerard,Roosloot,m,Bergen (NH)
Lijst 1 Water Natuurlijk,,4,M.J. de Jong,Martijn,de Jong,m,Alkmaar
Lijst 1 Water Natuurlijk,,5,E.A. Baldal,Egon,Baldal,m,Wormer
Lijst 1 Water Natuurlijk,,6,A.E. Tijssens,Andries,Tijssens,m,Amsterdam
Lijst 1 Water Natuurlijk,,7,K.S.D. Jonkers,Karen,Jonkers,v,Spierdijk
Lijst 1 Water Natuurlijk,,8,J.C.N. Wagenaar,Sjon,Wagenaar,m,Hoogkarspel
Lijst 1 Water Natuurlijk,,9,G. Rot,Gerrit,Rot,m,Schagen
Lijst 1 Water Natuurlijk,,10,G.F.H. Freijsen,George,Freijsen,m,Hoorn
Lijst 1 Water Natuurlijk,,11,L.A.M. van 't Hooft,Lean,van 't Hooft,v,Zaandam
Lijst 1 Water Natuurlijk,,12,J.W.G.J. Jansen,Jan,Jansen,m,Alkmaar
Lijst 1 Water Natuurlijk,,13,C.H. Boland,Hendrik,Boland,m,Enkhuizen
Lijst 1 Water Natuurlijk,,14,C.C. Schouten,Christian,Schouten,m,Oudorp
Lijst 1 Water Natuurlijk,,15,C. Stoffelsma,Cor,Stoffelsma,m,Hoorn
Lijst 1 Water Natuurlijk,,16,M. Scheele,Michiel,Scheele,m,Wervershoof
Lijst 1 Water Natuurlijk,,17,A. de Graaf,Arie,de Graaf,m,Broek op Langedijk
Lijst 1 Water Natuurlijk,,18,J. Frens,Jan,Frens,m,Castricum
Lijst 1 Water Natuurlijk,,19,B.M. van Beijma-vanDam,Barbara,van Beijma-vanDam,v,Monnickendam
Lijst 1 Water Natuurlijk,,20,T.A. Molenaar-Langeveld,Tineke,Molenaar-Langeveld,v,Castricum
Lijst 1 Water Natuurlijk,,21,J. Kuiper,Jan,Kuiper,m,Egmond-Binnen
