title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 CDA,,1,J.D. Kramer,Jan,Kramer,m,Zuid-Scharwoude
Lijst 2 CDA,,2,F.J.J. Brouwer,Frits,Brouwer,m,Heemskerk
Lijst 2 CDA,,3,P. van Ollefen,Petra,van Ollefen,v,Alkmaar
Lijst 2 CDA,,4,E.F. Jongmans,Ed,Jongmans,m,Monnickendam
Lijst 2 CDA,,5,O.A.M. Smit,Otto,Smit,m,Wieringerwerf
Lijst 2 CDA,,6,F.H.J. Jonk,Frits,Jonk,m,Graft
Lijst 2 CDA,,7,W. Burggraaff,Willem,Burggraaff,m,Den Helder
Lijst 2 CDA,,8,J.A. de Moel,Jos,de Moel,m,Bergen (NH)
Lijst 2 CDA,,9,N.D.K. Eelman,Nel,Eelman,v,Den Burg
Lijst 2 CDA,,10,R. van Gaalen,Robert,van Gaalen,m,Ilpendam
Lijst 2 CDA,,11,J.W. Apeldoorn,Jan,Apeldoorn,m,Schoorl
Lijst 2 CDA,,12,M.H.A. Bouman,Monica,Bouman,v,Heemskerk
Lijst 2 CDA,,13,W. Balder,Wim,Balder,m,Sint Pancras
Lijst 2 CDA,,14,C.J. Paul,Kees,Paul,m,Purmerend
Lijst 2 CDA,,15,N. Oussoren,Nico,Oussoren,m,Monnickendam
Lijst 2 CDA,,16,T.T. de Lange,Ted,de Lange,m,Medemblik
Lijst 2 CDA,,17,C.M.R.I. Toman,Rob,Toman,m,Beverwijk
Lijst 2 CDA,,18,V.G.A. Kellenaar,Vincent,Kellenaar,m,Beverwijk
Lijst 2 CDA,,19,L.L.P. Tillmans,Leo,Tillmans,m,Heemskerk
Lijst 2 CDA,,20,B.J. Glashouwer,Boudien,Glashouwer,v,Waarland
Lijst 2 CDA,,21,T. Flens,Teun,Flens,m,Oostzaan
Lijst 2 CDA,,22,J. Wiskerke,Co,Wiskerke,m,Schagen
Lijst 2 CDA,,23,J.P.A.J. Ursem,Johan,Ursem,m,Obdam
Lijst 2 CDA,,24,N.C.J. Groot,Nico,Groot,m,Egmond aan den Hoef
Lijst 2 CDA,,25,G.V. Branderhorst,Gerrit,Branderhorst,m,Castricum
Lijst 2 CDA,,26,D. Honing,Dick,Honing,m,Venhuizen
Lijst 2 CDA,,27,V. Attema,Vanita,Attema,v,Landsmeer
Lijst 2 CDA,,28,A.A.C.M. Smit-Weel,Fia,Smit-Weel,v,Den Helder
Lijst 2 CDA,,29,J.A.M. Klaver,Hans,Klaver,m,Schagerbrug
Lijst 2 CDA,,30,A.A.C.M. Hoeve-Zwarthoed,Angela,Hoeve-Zwarthoed,v,Amsterdam
Lijst 2 CDA,,31,J. Dijkshoorn,Jan,Dijkshoorn,m,Wieringerwaard
Lijst 2 CDA,,32,C.M.M. Rood-de Haan,Karin,Rood-de Haan,v,Wognum
Lijst 2 CDA,,33,A.C.M. Slagter,Ton,Slagter,m,Lutjebroek
Lijst 2 CDA,,34,J.H. van der Werf,Jan,van der Werf,m,Enkhuizen
Lijst 2 CDA,,35,A.P. Wijte,Aad,Wijte,m,Uitgeest
Lijst 2 CDA,,36,J.C. de Wildt,Co,de Wildt,m,Zuidoostbeemster
Lijst 2 CDA,,37,N.J.J.J. Buis,Koos,Buis,m,Middenbeemster
Lijst 2 CDA,,38,E.S. Tijmstra,Eveline,Tijmstra,v,Purmerend
Lijst 2 CDA,,39,N.C.J.M. op 't Veld,Richard,op 't Veld,m,De Weere
Lijst 2 CDA,,40,J.P. Nagengast,Jan,Nagengast,m,Alkmaar
Lijst 2 CDA,,41,W.P.J. Bijman,Win,Bijman,m,Obdam
Lijst 2 CDA,,42,R. Nooij,Rick,Nooij,m,Ursem
Lijst 2 CDA,,43,J.A. Buis,Jos,Buis,m,Zwaag
Lijst 2 CDA,,44,P.G.M. Poel,Peter,Poel,m,De Rijp
Lijst 2 CDA,,45,N.J. Huisman,Claas,Huisman,m,Enkhuizen
Lijst 2 CDA,,46,W.J.M. Spaanderman,Wil,Spaanderman,m,Uitgeest
Lijst 2 CDA,,47,C.Y. Poldervaart,Kees,Poldervaart,m,Amsterdam
Lijst 2 CDA,,48,P. Verkroost,Pascal,Verkroost,m,Purmerend
Lijst 2 CDA,,49,J.W.A. Schokker,John,Schokker,m,Volendam
Lijst 2 CDA,,50,J.C.J. Beemsterboer,Jelle,Beemsterboer,m,Tuitjenhorn
