title,description,position,full_name,first_name,last_name,gender,place
"Lijst 5 Groen, Water & Land",,1,R. Veenman,Rob,Veenman,m,Wijdewormer
"Lijst 5 Groen, Water & Land",,2,K. Hartog,Klazien,Hartog,v,Zaandam
"Lijst 5 Groen, Water & Land",,3,A. Lap,Arie,Lap,m,Texel
"Lijst 5 Groen, Water & Land",,4,P.E. Brouwer-Stam,Philippine,Brouwer-Stam,v,Uitgeest
"Lijst 5 Groen, Water & Land",,5,A.C.M. Hes,Ber,Hes,m,Castricum
"Lijst 5 Groen, Water & Land",,6,N. Taffijn,Nicole,Taffijn,v,Heerhugowaard
"Lijst 5 Groen, Water & Land",,7,D. Groot,Daniël,Groot,m,Den Helder
"Lijst 5 Groen, Water & Land",,8,J.L. Bakker,Louis,Bakker,m,Hollands Kroon
"Lijst 5 Groen, Water & Land",,9,M.E. Sluis,Erna,Sluis,v,Alkmaar
"Lijst 5 Groen, Water & Land",,10,J.J. Roelofsen,Jan,Roelofsen,m,Den Helder
"Lijst 5 Groen, Water & Land",,11,M. Dijkshoorn,Maarten,Dijkshoorn,m,Heiloo
"Lijst 5 Groen, Water & Land",,12,A. Stam,Anneke,Stam,v,Wijdewormer
"Lijst 5 Groen, Water & Land",,13,J.M. Prins,Jan,Prins,m,Hollands Kroon
"Lijst 5 Groen, Water & Land",,14,J. Steenis,Jan,Steenis,m,Schagen
"Lijst 5 Groen, Water & Land",,15,D. Wagenaar,Donja,Wagenaar,v,Hollands Kroon
"Lijst 5 Groen, Water & Land",,16,J. Klaver,Jan,Klaver,m,Medemblik
"Lijst 5 Groen, Water & Land",,17,J.J. Jantjes,Jan Jaap,Jantjes,m,West-Graftdijk
"Lijst 5 Groen, Water & Land",,18,J.P. Speelman,Hannelore,Speelman,v,Bergen (NH)
"Lijst 5 Groen, Water & Land",,19,C.A. de Lange,Kees,de Lange,m,Waterland
"Lijst 5 Groen, Water & Land",,20,M. van Rijn,Maarten,van Rijn,m,Hoorn
"Lijst 5 Groen, Water & Land",,21,S. Güngör-Büber,Sema,Güngör-Büber,v,Oostzaan
"Lijst 5 Groen, Water & Land",,22,W.A. de Herder,Pim,de Herder,m,Hollands Kroon
"Lijst 5 Groen, Water & Land",,23,A.J.M. Smit,Ton,Smit,m,Assendelft
"Lijst 5 Groen, Water & Land",,24,M. Mol-Zitman,Mona,Mol-Zitman,v,Koggenland
"Lijst 5 Groen, Water & Land",,25,E. Zwijnenberg,Eric,Zwijnenberg,m,Alkmaar
"Lijst 5 Groen, Water & Land",,26,L.J.M. Schagen,Leo,Schagen,m,Beemster
"Lijst 5 Groen, Water & Land",,27,P.J. Kops,Els,Kops,v,Edam-Volendam
"Lijst 5 Groen, Water & Land",,28,P. Oortwijn,Piet,Oortwijn,m,Purmerend
"Lijst 5 Groen, Water & Land",,29,J.M. Smit,Han,Smit,m,Hoorn
"Lijst 5 Groen, Water & Land",,30,E.M. Konijn-Beemster,Bets,Konijn-Beemster,v,Beemster
"Lijst 5 Groen, Water & Land",,31,B. Slooten,Bart,Slooten,m,Koedijk
"Lijst 5 Groen, Water & Land",,32,A.M. Wegman,Anton,Wegman,m,Amsterdam
"Lijst 5 Groen, Water & Land",,33,M.G. Jonker,Maja,Jonker,v,Zeevang
"Lijst 5 Groen, Water & Land",,34,F.F. de Ridder,Frans,de Ridder,m,Stede Broec
"Lijst 5 Groen, Water & Land",,35,W. Joop,Wouter,Joop,m,Warmenhuizen
"Lijst 5 Groen, Water & Land",,36,K. Lastdrager,Karon,Lastdrager,v,Landsmeer
"Lijst 5 Groen, Water & Land",,37,P.C.M. Boots,Peter,Boots,m,Wormerland
"Lijst 5 Groen, Water & Land",,38,E.M.M. Kroese-Visser,Emmy,Kroese-Visser,v,Stede Broec
"Lijst 5 Groen, Water & Land",,39,J.P.M. Klaver,Johan,Klaver,m,Wormer
"Lijst 5 Groen, Water & Land",,40,H. Kastelein,Henk,Kastelein,m,Oosthuizen
"Lijst 5 Groen, Water & Land",,41,H. Melk-Dijkhuizen,Rita,Melk-Dijkhuizen,v,Koog aan de Zaan
"Lijst 5 Groen, Water & Land",,42,K. Olie,Kees,Olie,m,Oostzaan
"Lijst 5 Groen, Water & Land",,43,E.C.A. Kaarsemaker,Eric,Kaarsemaker,m,Purmerend
"Lijst 5 Groen, Water & Land",,44,G. Laan-de Vries,Gerda,Laan-de Vries,v,Wijdewormer
"Lijst 5 Groen, Water & Land",,45,P.C. Kuiken,Peke,Kuiken,m,Edam-Volendam
"Lijst 5 Groen, Water & Land",,46,P.G. Roels,Piet,Roels,m,Zaandam
"Lijst 5 Groen, Water & Land",,47,G.M. Groot,Gerrie,Groot,m,Heerhugowaard
