title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,1,P. Vonk,Peter,Vonk,m,Amsterdam
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,2,F.C. Sanders,Fred,Sanders,m,Wormer
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,3,J.P. Leek,Jaap,Leek,m,Monnickendam
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,4,J.A.C. Boot,Jan,Boot,m,Purmerend
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,5,J.H. Leever,Jeff,Leever,m,Wieringerwerf
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,6,N.C.M. Deckwitz,Rob,Deckwitz,m,De Rijp
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,7,P.B. Zwaan,Piet,Zwaan,m,Grootebroek
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,8,T.J.M. Weijers,Theo,Weijers,m,Breezand
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,9,D. Dijkshoorn,Dirk,Dijkshoorn,m,Oosthuizen
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,10,G. Pankras,Jip,Pankras,m,'t Veld
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,11,F.D. Zeiler,Frits David,Zeiler,m,Bergen (NH)
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,12,W.G.M. Veldt,Willem,Veldt,m,Akersloot
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,13,P.D. Taams,Petra,Taams,v,Schagen
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,14,W.J. Hermans,Wim,Hermans,m,Anna Paulowna
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,15,A. Helder,Arie,Helder,m,Berkhout
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,16,J. van Berkum,Jan,van Berkum,m,Westerland
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,17,A.J. Broerse,Bram,Broerse,m,Noordbeemster
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,18,K. Ursem,Kees,Ursem,m,Amsterdam
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,19,E.P. Kooiman,Edo,Kooiman,m,Texel
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,20,M. Schilperoord,Meyke,Schilperoord,v,Purmerend
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,21,L.J. Leurs,Loes,Leurs,v,Zaandam
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,22,H.W.M. Veuger,Heleen,Veuger,v,Hoorn
Lijst 7 Algemene Waterschapspartij,Gecombineerd met Gewest NH/U KNSB,23,A.C.T. de Wit,Ton,de Wit,m,Heemskerk
