title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Partij van de Arbeid (P.v.d.A.),,1,B. Bruil,Boudewijn,Bruil,m,Capelle aan den IJssel
Lijst 1 Partij van de Arbeid (P.v.d.A.),,2,J.H. Heinecke,Anneke,Heinecke,v,Bleiswijk
Lijst 1 Partij van de Arbeid (P.v.d.A.),,3,W.R. van Heemst,Wim,van Heemst,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,4,K.G. Westhoff,Koen,Westhoff,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,5,B.A.S. Vester,Boudewijn,Vester,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,6,A. Hazelebach,Arjen,Hazelebach,m,Nieuwerkerk aan den IJssel
Lijst 1 Partij van de Arbeid (P.v.d.A.),,7,P.C. Paulusma,Paul,Paulusma,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,8,U.S.K. Ammersing,Shena,Ammersing,v,Bergschenhoek
Lijst 1 Partij van de Arbeid (P.v.d.A.),,9,C.G. Mast,Chris,Mast,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,10,D.A. Vuik,Dik,Vuik,m,Rotterdam
Lijst 1 Partij van de Arbeid (P.v.d.A.),,11,A.C.C.M. van Merode,Rian,van Merode,v,Rotterdam
