title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 VVD,,1,J.H. Geselschap,Jock,Geselschap,m,Rotterdam
Lijst 2 VVD,,2,H.H. Luigies,Huug,Luigies,m,Krimpen aan den IJssel
Lijst 2 VVD,,3,P.F.J. van den Eijnden,Paul,van den Eijnden,m,Capelle aan den IJssel
Lijst 2 VVD,,4,K. Bouchtaoui,Karima,Bouchtaoui,v,Rotterdam
Lijst 2 VVD,,5,J.G. de Jong,Jeffry,de Jong,m,Rotterdam
Lijst 2 VVD,,6,J.E.W. Pahud de Mortanges,Jeroen,Pahud de Mortanges,m,Rotterdam
Lijst 2 VVD,,7,H.J. Vos,Hendrik-Jan,Vos,m,Rotterdam
Lijst 2 VVD,,8,T.D.S. Feenstra,Theo,Feenstra,m,Rotterdam
Lijst 2 VVD,,9,A.A. Wiekart,Bart,Wiekart,m,Waddinxveen
Lijst 2 VVD,,10,J. van Poeteren,Hans,van Poeteren,m,Rotterdam
Lijst 2 VVD,,11,J.G.H. van Eijk,John,van Eijk,m,Zevenhuizen
