title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 Algemene Waterschapspartij,,1,G. de Jonge,Ger,de Jonge,m,Rotterdam
Lijst 8 Algemene Waterschapspartij,,2,J.M.A. van Schaik,José,van Schaik,v,Zoetermeer
Lijst 8 Algemene Waterschapspartij,,3,L.F.M. Crouwers,Bart,Crouwers,m,Haastrecht
Lijst 8 Algemene Waterschapspartij,,4,R.C.B. van Ham,Rosemarie,van Ham,v,Rotterdam
Lijst 8 Algemene Waterschapspartij,,5,G.M. Boks,Gerard,Boks,m,Gouda
Lijst 8 Algemene Waterschapspartij,,6,P.A. van der Hauw,Peter,van der Hauw,m,Zoetermeer
Lijst 8 Algemene Waterschapspartij,,7,H.H. Oudman,Hendrik,Oudman,m,Krimpen aan den IJssel
Lijst 8 Algemene Waterschapspartij,,8,G. Smit-Raggers,Geke,Smit-Raggers,v,Krimpen aan de Lek
Lijst 8 Algemene Waterschapspartij,,9,J. Hofman-Verwoert,Janette,Hofman-Verwoert,v,Lekkerkerk
Lijst 8 Algemene Waterschapspartij,,10,T.M. van de Staaij,Tim,van de Staaij,m,Rotterdam
Lijst 8 Algemene Waterschapspartij,,11,D.P. van Sluis,Dick,van Sluis,m,Capelle aan den IJssel
