title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,1,J.J. Demoed,Hans,Demoed,m,Hazerswoude-Dorp
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,2,M. Kastelein,Marco,Kastelein,m,Gouda
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,3,E.J. de Vries,Marlies,de Vries,v,Velserbroek
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,4,H.J. Oostwouder,Erik,Oostwouder,m,Haarlemmermeer
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,5,J.G.M. Zweers,Han,Zweers,m,Alphen aan den Rijn
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,6,G.L.C.M. van Leeuwen,Bert,van Leeuwen,m,Warmond
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,7,H.P. Olthof,Paul,Olthof,m,Zoeterwoude
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,8,E.W. Kelder-Voskuilen,Els,Kelder-Voskuilen,v,Ter Aar
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,9,J. van den Assem,Jan,van den Assem,m,Haarlem
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,10,J.J.J. Beugelsdijk,Jos,Beugelsdijk,m,Noordwijkerhout
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,11,A.J.G. Burger,André,Burger,m,Vogelenzang
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,12,M.T. Wagenaar,Matthias,Wagenaar,m,Haarlem
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,13,J.H.M. Kroft,Jan,Kroft,m,Alphen aan den Rijn
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,14,A. Koster,Ed,Koster,m,Haarlemmermeer
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,15,D. de Blaeij,Dirk,de Blaeij,m,Oegstgeest
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,16,M.J.P. Vink-van Bruggen,Martie,Vink-van Bruggen,v,Spaarndam
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,17,J.C. Salverda,Jankees,Salverda,m,Gouda
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,18,L.A.M. van Ewijk,Leo,van Ewijk,m,Leidschendam
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,19,P. Hellinga,Pieter,Hellinga,m,Oegstgeest
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,20,M.A.U. Waterlander-de Boer,Marieke,Waterlander-de Boer,v,Heemstede
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,21,J.R. Beelen,Jan,Beelen,m,Zandvoort
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,22,W.H.L. van der Post,Wilbert,van der Post,m,Leiden
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,23,J. Hoogendoorn,Johan,Hoogendoorn,m,Woubrugge
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,24,C.J. de Vlieger,Cor,de Vlieger,m,IJmuiden
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,25,G.A.M. Heemskerk-van den Broek,Bep,Heemskerk-van den Broek,v,Aalsmeer
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,26,E.J.M. van Vlijmen,Boudi,van Vlijmen,m,Heemstede
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,27,W.M.C. Doeven,Wim,Doeven,m,Halfweg
Lijst 1 CDA,Gecombineerd met ChristenUnie-SGP,28,H.J.M. Koelman,Henk,Koelman,m,Spaarndam
