title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 Partij van de Arbeid (P.v.d.A.),,1,R.T.M. Bots,Rob,Bots,m,'s-Hertogenbosch
Lijst 3 Partij van de Arbeid (P.v.d.A.),,2,M.J.M. van de Ven-Meulendijks,Marianne,van de Ven-Meulendijks,v,Asten
Lijst 3 Partij van de Arbeid (P.v.d.A.),,3,J.B. de Mare,Hans,de Mare,m,Helmond
Lijst 3 Partij van de Arbeid (P.v.d.A.),,4,C.W. van Gorkum,Kees Willem,van Gorkum,m,Gassel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,5,A.J.M. van der Wens,Patrick,van der Wens,m,'s-Hertogenbosch
Lijst 3 Partij van de Arbeid (P.v.d.A.),,6,F. Morel,Freek,Morel,m,'s-Hertogenbosch
Lijst 3 Partij van de Arbeid (P.v.d.A.),,7,L.L. Dortmans,Leo,Dortmans,m,Someren
Lijst 3 Partij van de Arbeid (P.v.d.A.),,8,G.P.M. de Jong,Gerard,de Jong,m,Deurne
Lijst 3 Partij van de Arbeid (P.v.d.A.),,9,A. Bolat,Asli,Bolat,v,Uden
Lijst 3 Partij van de Arbeid (P.v.d.A.),,10,W.P.J. Mollen-Veld,Maaike,Mollen-Veld,v,Oss
Lijst 3 Partij van de Arbeid (P.v.d.A.),,11,S.M. Derks,Silvia,Derks,v,Cuijk
Lijst 3 Partij van de Arbeid (P.v.d.A.),,12,P.W.A.J. Mastenbroek,Peeter,Mastenbroek,m,Gemert
Lijst 3 Partij van de Arbeid (P.v.d.A.),,13,M.H.W. Kok,Michel,Kok,m,Oss
Lijst 3 Partij van de Arbeid (P.v.d.A.),,14,M.I. Pieters,Maarten,Pieters,m,Rosmalen
Lijst 3 Partij van de Arbeid (P.v.d.A.),,15,R.P.J. Wibier,Robertino,Wibier,m,Deurne
Lijst 3 Partij van de Arbeid (P.v.d.A.),,16,L.A. Kamps,Leon,Kamps,m,Grave
Lijst 3 Partij van de Arbeid (P.v.d.A.),,17,J.M. van Maris,Hans,van Maris,m,Someren
Lijst 3 Partij van de Arbeid (P.v.d.A.),,18,J.P.M. Vermeulen,Jan Pieter,Vermeulen,m,Berlicum
Lijst 3 Partij van de Arbeid (P.v.d.A.),,19,C.G.E.M. Katoen- de Graaf,Inke,Katoen- de Graaf,v,'s-Hertogenbosch
Lijst 3 Partij van de Arbeid (P.v.d.A.),,20,M. Mulder,Margo,Mulder,v,Vlijmen
Lijst 3 Partij van de Arbeid (P.v.d.A.),,21,J.A. van der Pas,Hans,van der Pas,m,Heesch
Lijst 3 Partij van de Arbeid (P.v.d.A.),,22,A.M. Wijnands,Annegien,Wijnands,v,Helmond
