title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 CDA,,1,H.P. Verroen,Hans Peter,Verroen,m,Lepelstraat
Lijst 1 CDA,,2,J.J.M. van der Aa,Jacques,van der Aa,m,Dongen
Lijst 1 CDA,,3,J.A.P.G. Verhulst,Jack,Verhulst,m,Etten-Leur
Lijst 1 CDA,,4,M. Resink,Machiel,Resink,m,Breda
Lijst 1 CDA,,5,C.A.M. Korst-Dingemans,Lian,Korst-Dingemans,v,Steenbergen
Lijst 1 CDA,,6,M. van Dongen,Riné,van Dongen,m,Waalwijk
Lijst 1 CDA,,7,H.G.L. Langermans,Harry,Langermans,m,Roosendaal
Lijst 1 CDA,,8,J.W.J. van Leeuwen,Jan,van Leeuwen,m,Oudenbosch
Lijst 1 CDA,,9,A.J.C. van Tetering,Ad,van Tetering,m,Hoeven
Lijst 1 CDA,,10,M.F.M. Hendrickx,Rien,Hendrickx,m,Breda
Lijst 1 CDA,,11,L.P. Arnold,Leo,Arnold,m,Oosterhout
Lijst 1 CDA,,12,S.V.S. van der Veeken,Stephan,van der Veeken,m,Breda
Lijst 1 CDA,,13,A.M.M. van der Kloot,André,van der Kloot,m,Achtmaal
