title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 Partij van de Arbeid (P.v.d.A.),,1,A. Schouten-Saarloos,Aaltje,Schouten-Saarloos,v,Nuenen
Lijst 3 Partij van de Arbeid (P.v.d.A.),,2,A.J. Oosting,Ab,Oosting,m,Eindhoven
Lijst 3 Partij van de Arbeid (P.v.d.A.),,3,F.L.M. Tijhof,Fabian,Tijhof,m,Tilburg
Lijst 3 Partij van de Arbeid (P.v.d.A.),,4,J.P. Vorsteveld,Jan Pieter,Vorsteveld,m,Tilburg
Lijst 3 Partij van de Arbeid (P.v.d.A.),,5,G.L.J.T.M. van Nunen,Gerloes,van Nunen,v,Geldrop
Lijst 3 Partij van de Arbeid (P.v.d.A.),,6,A.G.D. van Leersum,Fons,van Leersum,m,Tilburg
Lijst 3 Partij van de Arbeid (P.v.d.A.),,7,M.C.G. Beenackers-van Poppel,Marie,Beenackers-van Poppel,v,Maarheeze
Lijst 3 Partij van de Arbeid (P.v.d.A.),,8,I.A. de Vlieger,Jack,de Vlieger,m,Sint-Michielsgestel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,9,A.R.L. de Vries,Arnold,de Vries,m,Oost West en Middelbeers
Lijst 3 Partij van de Arbeid (P.v.d.A.),,10,J.C. Bijlsma,Johan,Bijlsma,m,Son en Breugel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,11,F. Cools,Frank,Cools,m,Knegsel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,12,J.J.M.M. van Ooijen,Jos,van Ooijen,m,Boxtel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,13,G.N.A. van Veen,Gerard,van Veen,m,Waalre
Lijst 3 Partij van de Arbeid (P.v.d.A.),,14,H.D. Breukel,Henk,Breukel,m,Best
Lijst 3 Partij van de Arbeid (P.v.d.A.),,15,M.C.M. School,Martha,School,v,Sint-Oedenrode
Lijst 3 Partij van de Arbeid (P.v.d.A.),,16,A.G.C. van Rooij,Ton,van Rooij,m,Bladel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,17,M.M.W. Peeters,Magda,Peeters,v,Oisterwijk
Lijst 3 Partij van de Arbeid (P.v.d.A.),,18,A.J.C. van Kampen,Ton,van Kampen,m,Heeze
Lijst 3 Partij van de Arbeid (P.v.d.A.),,19,P. Bannier,Peggy,Bannier,v,Vught
Lijst 3 Partij van de Arbeid (P.v.d.A.),,20,C.W.F.M. van Mol,Kees,van Mol,m,Hilvarenbeek
Lijst 3 Partij van de Arbeid (P.v.d.A.),,21,W.S.H.M. Rombouts,Wil,Rombouts,m,Bergeijk
Lijst 3 Partij van de Arbeid (P.v.d.A.),,22,F.S.D. Bijl,Fiona,Bijl,v,Reusel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,23,W.F. Hofmeester,Frans,Hofmeester,m,Veldhoven
