title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 VVD,,1,J.A. Verhoeven,Jan,Verhoeven,m,Bergeijk
Lijst 5 VVD,,2,H.G.J. van Heeswijk,Lonneke,van Heeswijk,v,Tilburg
Lijst 5 VVD,,3,R.A. Dekkers,René,Dekkers,m,Sint-Oedenrode
Lijst 5 VVD,,4,J.W.M. Kuppens,Jos,Kuppens,m,Eindhoven
Lijst 5 VVD,,5,F. Smit,Frank,Smit,m,Bergeijk
Lijst 5 VVD,,6,A.F.L. Cleijsen,Ad,Cleijsen,m,Berkel-Enschot
Lijst 5 VVD,,7,J.M.H. van Bruggen,Johan,van Bruggen,m,Nuenen
Lijst 5 VVD,,8,B.J. Roorda,Bas,Roorda,m,Valkenswaard
Lijst 5 VVD,,9,W.F.C. van Pinxteren,Wil,van Pinxteren,m,Haaren
Lijst 5 VVD,,10,K.M. Thomas,Karin,Thomas,v,Biest-Houtakker
Lijst 5 VVD,,11,P.F.J.M. Schellekens,Paul,Schellekens,m,Goirle
Lijst 5 VVD,,12,I. Cune-Noten,Ivonne,Cune-Noten,v,Eersel
Lijst 5 VVD,,13,B.M.H.J. Gossen,Bart,Gossen,m,Berkel-Enschot
Lijst 5 VVD,,14,A.A. Zwierstra,Aline,Zwierstra,v,Eindhoven
Lijst 5 VVD,,15,M.A.L.M. Schoenmakers,Marc,Schoenmakers,m,Oisterwijk
Lijst 5 VVD,,16,E.H.H. Gremmée,Enid,Gremmée,v,Waalre
Lijst 5 VVD,,17,M.W. van Dalen,Marko,van Dalen,m,Tilburg
Lijst 5 VVD,,18,M.F.H. du Maine,Mark,du Maine,m,Vught
Lijst 5 VVD,,19,B. Wolfs-Taapken,Bianca,Wolfs-Taapken,v,Moergestel
Lijst 5 VVD,,20,F. van den Broek,Ferry,van den Broek,m,Eindhoven
Lijst 5 VVD,,21,J.A.P.M. Swaans,Johan,Swaans,m,Goirle
Lijst 5 VVD,,22,H.M.C. Dijkhoff,Rik,Dijkhoff,m,Best
Lijst 5 VVD,,23,T. Holleman,Tycho,Holleman,m,Hilvarenbeek
Lijst 5 VVD,,24,K.H. Vortman,Kees,Vortman,m,Son en Breugel
Lijst 5 VVD,,25,M.H.H. Termeer,Miriam,Termeer,v,Oirschot
Lijst 5 VVD,,26,H.W. Verhees,Bart,Verhees,m,Someren
Lijst 5 VVD,,27,J.H. Möller,Joost,Möller,m,Tilburg
Lijst 5 VVD,,28,M.C.T.M. List-de Roos,Monique,List-de Roos,v,Eindhoven
