title,description,position,full_name,first_name,last_name,gender,place
Lijst 11 Inwonersbelang - AWP,,1,P.H.M. Blom,Piet,Blom,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,2,L.B. Martijn,Lionel,Martijn,m,Rotterdam
Lijst 11 Inwonersbelang - AWP,,3,F.J. Prins,Fred,Prins,m,Middelharnis
Lijst 11 Inwonersbelang - AWP,,4,G. Vroegop - Kranenburg,Gerda,Vroegop - Kranenburg,v,Maasdam
Lijst 11 Inwonersbelang - AWP,,5,J.M. van Dalen,Johan,van Dalen,m,Steenbergen
Lijst 11 Inwonersbelang - AWP,,6,L. de Mulder,Leonie,de Mulder,v,Ridderkerk
Lijst 11 Inwonersbelang - AWP,,7,A.J. van der Veer,Bram,van der Veer,m,Maasdam
Lijst 11 Inwonersbelang - AWP,,8,J.J.T. Gianotten,Jos,Gianotten,m,Ridderkerk
Lijst 11 Inwonersbelang - AWP,,9,S. El Bouazzaoui,Said,El Bouazzaoui,m,Rotterdam
Lijst 11 Inwonersbelang - AWP,,10,P.H.M.J. Langendijk,Peter,Langendijk,m,Barendrecht
Lijst 11 Inwonersbelang - AWP,,11,J.H.K. den Haan,Jan,den Haan,m,Spijkenisse
Lijst 11 Inwonersbelang - AWP,,12,J.T. Nieman,Jack,Nieman,m,Zwijndrecht
Lijst 11 Inwonersbelang - AWP,,13,L.A. Vreugdenhil,Luc,Vreugdenhil,m,Numansdorp
Lijst 11 Inwonersbelang - AWP,,14,J.A. Visser,Jan,Visser,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,15,H.H. Roekx,Herman,Roekx,m,Barendrecht
Lijst 11 Inwonersbelang - AWP,,16,C. Broere,Cees,Broere,m,Numansdorp
Lijst 11 Inwonersbelang - AWP,,17,B. Bernsen,Boudewijn,Bernsen,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,18,J. Zeilstra,John,Zeilstra,m,Numansdorp
Lijst 11 Inwonersbelang - AWP,,19,J. de Jongh,Jaap,de Jongh,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,20,J.W. van Reeuwijk,Jan Wouter,van Reeuwijk,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,21,E. Harinck,Eduard,Harinck,m,Mijnsheerenland
Lijst 11 Inwonersbelang - AWP,,22,G.A. Cox,Gerard,Cox,m,Mijnsheerenland
