title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,1,L.A. van Gelder,Leo,van Gelder,m,Barendrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,2,J.M.P. Wink,Hans,Wink,m,Zwijndrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,3,L.B.C. Stehouwer,Leo,Stehouwer,m,Numansdorp
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,4,A. Callewaert - de Groot,Arinda,Callewaert - de Groot,v,'s-Gravendeel
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,5,T.C. Oostenrijk,Theo,Oostenrijk,m,Dordrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,6,G. Schuitemaker,Gerard,Schuitemaker,m,Rhoon
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,7,E.B. Keijzer-Westhoeve,Liesbeth,Keijzer-Westhoeve,v,Stellendam
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,8,P. Boekhoud,Piet,Boekhoud,m,Barendrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,9,D.A. van Steensel,Dion,van Steensel,m,Dordrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,10,R. van Papeveld,Robert,van Papeveld,m,Middelharnis
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,11,H.K. Korteweg - de Jager,Henny,Korteweg - de Jager,v,Dordrecht
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,12,J. Rijkeboer,Jelle,Rijkeboer,m,Hellevoetsluis
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,13,A. Erdal,Alaattin,Erdal,m,Rotterdam
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,14,A. Hallema,Alex,Hallema,m,Hoogvliet Rotterdam
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,15,A.J.C.M. van der Heijde,Arnold,van der Heijde,m,Hoogvliet Rotterdam
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,16,D.M. van der Werf-Weeda,Ina,van der Werf-Weeda,v,Oud-Beijerland
Lijst 2 CDA,Gecombineerd met Staatkundig Gereformeerde Partij (SGP) en ChristenUnie,17,G. Veldhuijzen,Govert,Veldhuijzen,m,Dordrecht
