title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 Water Natuurlijk,,1,E.J. Slachter,Ellen,Slachter,v,Zuidland
Lijst 4 Water Natuurlijk,,2,A. Mollema,Anne,Mollema,m,Dordrecht
Lijst 4 Water Natuurlijk,,3,R. Lucas,Reyer,Lucas,m,Heerjansdam
Lijst 4 Water Natuurlijk,,4,L. Zilverberg,Bartjan,Zilverberg,m,Rotterdam
Lijst 4 Water Natuurlijk,,5,T.J. van den Brand,Jan,van den Brand,m,Oostvoorne
Lijst 4 Water Natuurlijk,,6,P.J. de Werk,Peter Jan,de Werk,m,Rotterdam
Lijst 4 Water Natuurlijk,,7,C.P. Groshart,Christa,Groshart,v,Ridderkerk
Lijst 4 Water Natuurlijk,,8,G.J. Kleinpaste,Gertjan,Kleinpaste,m,Dordrecht
Lijst 4 Water Natuurlijk,,9,A.H. Wesdijk,Arend,Wesdijk,m,Barendrecht
Lijst 4 Water Natuurlijk,,10,H.R. Offereins,Herman,Offereins,m,Dordrecht
Lijst 4 Water Natuurlijk,,11,E. Portheine,Liesbeth,Portheine,v,Rhoon
Lijst 4 Water Natuurlijk,,12,A.J.J. Naaijen,Ton,Naaijen,m,Dordrecht
Lijst 4 Water Natuurlijk,,13,M.A. Verweijen,Martijn,Verweijen,m,Nieuw-Beijerland
Lijst 4 Water Natuurlijk,,14,G. Boot,Gerben,Boot,m,Dordrecht
Lijst 4 Water Natuurlijk,,15,L. van der Bijl,Lorenzo,van der Bijl,m,Ouddorp
Lijst 4 Water Natuurlijk,,16,A.W. van Essen - van Mazijk,Anke,van Essen - van Mazijk,v,Spijkenisse
Lijst 4 Water Natuurlijk,,17,G. Groenenboom-van Tol,Ger,Groenenboom-van Tol,v,Spijkenisse
Lijst 4 Water Natuurlijk,,18,G.A.M. Verroen,Gerard,Verroen,m,Dordrecht
Lijst 4 Water Natuurlijk,,19,J.A. Dijkhuizen,Jan Alewijn,Dijkhuizen,m,Rockanje
Lijst 4 Water Natuurlijk,,20,J. Kievit,Joost,Kievit,m,'s-Gravendeel
