title,description,position,full_name,first_name,last_name,gender,place
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,1,W. de Jong,Wim,de Jong,m,Hendrik-Ido-Ambacht
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,2,J. van Helden,Sjaak,van Helden,m,'s-Gravendeel
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,3,A.P.J. van den Berg,Albert-Jan,van den Berg,m,Ridderkerk
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,4,P.C. Grinwis,Peter,Grinwis,m,Ouddorp
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,5,T.A. Stoop,Teunis,Stoop,m,Hendrik-Ido-Ambacht
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,6,A.J. Herweijer,Ad,Herweijer,m,Klaaswaal
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,7,A.J. Kardux,Aren-Jan,Kardux,m,Dirksland
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,8,C.A. van der Duijn Schouten,Kees,van der Duijn Schouten,m,Ridderkerk
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,9,J.S. Breedveld,John,Breedveld,m,Barendrecht
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,10,P. Kranendonk,Peter,Kranendonk,m,Ridderkerk
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,11,W. Boonzaaijer,Wouter,Boonzaaijer,m,Rotterdam
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,12,A. Hoogesteger,Ab,Hoogesteger,m,Dordrecht
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,13,G. Slootweg,Gert,Slootweg,m,Middelharnis
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,14,B. Staat,Bert,Staat,m,Dordrecht
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,15,A.T. van der Wulp,Anthony,van der Wulp,m,'s-Gravendeel
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,16,A.G.M. Born,Marco,Born,m,Sommelsdijk
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,17,J.K. Matze,Johan,Matze,m,Nieuw-Beijerland
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,18,A. Houweling,Adri,Houweling,m,Oude-Tonge
Lijst 6 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met CDA en ChristenUnie,19,A. van der Linden,Arie,van der Linden,m,Nieuw-Beijerland
