title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 Hollandse Delta Natuurlijk,,1,J.J.L. Huber,Johan,Huber,m,Brielle
Lijst 7 Hollandse Delta Natuurlijk,,2,H.J. Steehouwer,Henk,Steehouwer,m,Rotterdam
Lijst 7 Hollandse Delta Natuurlijk,,3,M. Schurg,Marco,Schurg,m,Heinenoord
Lijst 7 Hollandse Delta Natuurlijk,,4,M.J. de Sutter - Besters,Ria,de Sutter - Besters,v,Rozenburg
Lijst 7 Hollandse Delta Natuurlijk,,5,E.H. Doedens,Eimert,Doedens,m,Hellevoetsluis
Lijst 7 Hollandse Delta Natuurlijk,,6,J. Faber,Jaap,Faber,m,Rotterdam
Lijst 7 Hollandse Delta Natuurlijk,,7,J.A.M. van der Horst,Jean,van der Horst,m,Goedereede
Lijst 7 Hollandse Delta Natuurlijk,,8,C.G.Q. Buijs,Cor,Buijs,m,Rotterdam
Lijst 7 Hollandse Delta Natuurlijk,,9,D.J. Polak,Dirk Jan,Polak,m,Poortugaal
Lijst 7 Hollandse Delta Natuurlijk,,10,H.J. Rigter,Helmich,Rigter,m,Rotterdam
Lijst 7 Hollandse Delta Natuurlijk,,11,J.D.B. Klapwijk,Jurgen,Klapwijk,m,Ridderkerk
Lijst 7 Hollandse Delta Natuurlijk,,12,M. Vos,Rinus,Vos,m,Ridderkerk
Lijst 7 Hollandse Delta Natuurlijk,,13,W. Pannekoek,Wiebe,Pannekoek,m,Spijkenisse
Lijst 7 Hollandse Delta Natuurlijk,,14,C.M. Berning - van Oostveen,Tini,Berning - van Oostveen,v,Brielle
Lijst 7 Hollandse Delta Natuurlijk,,15,M. Heijndijk,Maarten,Heijndijk,m,Rockanje
Lijst 7 Hollandse Delta Natuurlijk,,16,J.J. van Noort,José,van Noort,v,Geervliet
Lijst 7 Hollandse Delta Natuurlijk,,17,W. Biemond,Wim,Biemond,m,Heerjansdam
Lijst 7 Hollandse Delta Natuurlijk,,18,W.A.A. Middendorp,Wim,Middendorp,m,Hoogvliet Rotterdam
Lijst 7 Hollandse Delta Natuurlijk,,19,J. Ouwens,Hanneke,Ouwens,v,Dordrecht
