title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),1,P. Robijn,Piet,Robijn,,Sommelsdijk
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),2,J.A. Fröling - Kok,Jantien,Fröling - Kok,,Hellevoetsluis
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),3,P. van Hengel,Piet,van Hengel,,Rotterdam
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),4,M. van Noort,Martijn,van Noort,,Barendrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),5,F.P. van Zaalen,Frans,van Zaalen,,Rhoon
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),6,G.M. Hoek,Gerto,Hoek,,Oud-Beijerland
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),7,J. Russcher - Wolfert,Janny,Russcher - Wolfert,,Oud-Beijerland
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),8,M. Koese,Maas,Koese,,Ouddorp
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),9,H.E. Steen,Huibert,Steen,,Heinenoord
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),10,F.J. Elzinga - Wimmenhove,Anja,Elzinga - Wimmenhove,,Rotterdam
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),11,M.M. Schenkel,Marius,Schenkel,,Zwijndrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),12,I.M. den Hollander,Inge,den Hollander,,Dordrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),13,E. Tuk,Bert,Tuk,,Ouddorp
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),14,E.E. Houtman,Erica,Houtman,,Ridderkerk
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),15,W.A. Albus,Wim,Albus,,Heenvliet
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),16,J.W. Kievit,Joop,Kievit,,Dirksland
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),17,C.L. van Dam,Cor,van Dam,,Dordrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),18,J. van Westen,Jan,van Westen,,Strijen
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),19,R. de Vries,Rein,de Vries,,Ridderkerk
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),20,R.J. van Asperen,Ruud,van Asperen,,Oude-Tonge
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),21,A.C. de Cuba,Anthony,de Cuba,,Dordrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),22,M.J. de Moed,Rini,de Moed,,Puttershoek
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),23,W. Schneider,Willem,Schneider,,Hendrik-Ido-Ambacht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),24,H.A. Spanjersberg,Herman,Spanjersberg,,Rotterdam
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),25,B. Bakelaar,Barend,Bakelaar,,Ooltgensplaat
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),26,A.Q. Schenkel,Quintijn,Schenkel,,Dordrecht
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),27,R.A. de Rover,Ron,de Rover,,Middelharnis
Lijst 8 ChristenUnie,Gecombineerd met CDA en Staatkundig Gereformeerde Partij (SGP),28,C. Versendaal,Cees,Versendaal,,Barendrecht
