title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 CDA,,1,F.S.A. Wissink,Frank,Wissink,m,Stokkum
Lijst 1 CDA,,2,A.A.M. Gunnewijk - Veer,Agnes,Gunnewijk - Veer,v,Beltrum
Lijst 1 CDA,,3,J.H. Vennevertloo,Johan,Vennevertloo,m,Rietmolen
Lijst 1 CDA,,4,J.L.J. Thomassen,Jeroen,Thomassen,m,Zevenaar
Lijst 1 CDA,,5,J. den Hartog,Jan,den Hartog,m,Lathum
Lijst 1 CDA,,6,H.A.C.M. Krabben,Harrie,Krabben,m,Vragender
Lijst 1 CDA,,7,D.J. Saelmans,David,Saelmans,m,Arnhem
Lijst 1 CDA,,8,F.J. Reijrink,Frans,Reijrink,m,Rietmolen
Lijst 1 CDA,,9,A.R. Nijenhuis,André,Nijenhuis,m,Warnsveld
Lijst 1 CDA,,10,D.J. Tromop,Jan,Tromop,m,Holten
Lijst 1 CDA,,11,P.E.B. Leemreise,Pim,Leemreise,m,Aalten
Lijst 1 CDA,,12,E. Nikkels,Eelco,Nikkels,m,Bathmen
Lijst 1 CDA,,13,J.P.T. Winters,Theo,Winters,m,Terborg
Lijst 1 CDA,,14,J.A.M. Lamers,Jos,Lamers,m,Herwen
Lijst 1 CDA,,15,J. Baan,Hans,Baan,m,Doetinchem
Lijst 1 CDA,,16,G.J. Grevers,Harry,Grevers,m,Winterswijk
Lijst 1 CDA,,17,W.T. Robbertsen,Wim,Robbertsen,m,Doesburg
Lijst 1 CDA,,18,H.F. Keuper,Manfred,Keuper,m,De Heurne
Lijst 1 CDA,,19,J.S.A. van Huet,Jan,van Huet,m,Duiven
Lijst 1 CDA,,20,H.J. Berentschot,Henk,Berentschot,m,Heelweg
Lijst 1 CDA,,21,H.F.M. Veenes,Huub,Veenes,m,Doetinchem
Lijst 1 CDA,,22,J.P. Breunissen,Hans,Breunissen,m,Westervoort
Lijst 1 CDA,,23,A.J. Kottelenberg,Jan,Kottelenberg,m,Lochem
