title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 Partij van de Arbeid (P.v.d.A.),,1,E.T.J.M. Rutting,Els,Rutting,v,Braamt
Lijst 3 Partij van de Arbeid (P.v.d.A.),,2,J.W. Haverdil,John,Haverdil,m,Ulft
Lijst 3 Partij van de Arbeid (P.v.d.A.),,3,O. Feitsma,Oege,Feitsma,m,Velp
Lijst 3 Partij van de Arbeid (P.v.d.A.),,4,F. van der Loon,Famke,van der Loon,v,Arnhem
Lijst 3 Partij van de Arbeid (P.v.d.A.),,5,J.M. Hollander,Jos,Hollander,m,Barchem
Lijst 3 Partij van de Arbeid (P.v.d.A.),,6,J. Beverdam,Jan,Beverdam,m,Laag-Keppel
Lijst 3 Partij van de Arbeid (P.v.d.A.),,7,W.A. Wormgoor,Betsy,Wormgoor,v,Neede
Lijst 3 Partij van de Arbeid (P.v.d.A.),,8,M.R.A. Lap,Marcel,Lap,m,Zevenaar
Lijst 3 Partij van de Arbeid (P.v.d.A.),,9,G.T.W Gudden,Gerrit,Gudden,m,Westervoort
Lijst 3 Partij van de Arbeid (P.v.d.A.),,10,R.G.W. Isselman,Rene,Isselman,m,Doetinchem
Lijst 3 Partij van de Arbeid (P.v.d.A.),,11,G.J. Kortschot,Jan,Kortschot,m,Winterswijk Meddo
Lijst 3 Partij van de Arbeid (P.v.d.A.),,12,M. Hissink,Mark,Hissink,m,Zutphen
Lijst 3 Partij van de Arbeid (P.v.d.A.),,13,H.J. Beks,Henk,Beks,m,Doetinchem
Lijst 3 Partij van de Arbeid (P.v.d.A.),,14,H.J. van der Leij,Hielke Jan,van der Leij,m,Arnhem
Lijst 3 Partij van de Arbeid (P.v.d.A.),,15,Y. Schrader e/v Irving,Yvonne,Schrader e/v Irving,v,Doesburg
Lijst 3 Partij van de Arbeid (P.v.d.A.),,16,G. Angenent,George,Angenent,m,Dinxperlo
Lijst 3 Partij van de Arbeid (P.v.d.A.),,17,C.J. Klaster,Cornelia,Klaster,v,Zevenaar
Lijst 3 Partij van de Arbeid (P.v.d.A.),,18,P. Donker,Peter,Donker,m,Zevenaar
Lijst 3 Partij van de Arbeid (P.v.d.A.),,19,P.W. Brugman,Peter,Brugman,m,Borculo
Lijst 3 Partij van de Arbeid (P.v.d.A.),,20,A. Sent,Arno,Sent,m,Spijk
Lijst 3 Partij van de Arbeid (P.v.d.A.),,21,P.H.M Baks,Peter,Baks,m,Lichtenvoorde
