title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 CDA,,1,R.C.J. Geertzen,Roeland,Geertzen,m,Culemborg
Lijst 1 CDA,,2,A. Bassa,Arie,Bassa,m,Hei- en Boeicop
Lijst 1 CDA,,3,L.P.G. de Wildt,Lambert,de Wildt,m,Overasselt
Lijst 1 CDA,,4,J. Visser - Kieboom,Hannie,Visser - Kieboom,v,Werkendam
Lijst 1 CDA,,5,C.J.M. van Rooijen,Kees,van Rooijen,m,Andelst
Lijst 1 CDA,,6,A.H. Boerma - Van Doorne,Ada,Boerma - Van Doorne,v,Ammerzoden
Lijst 1 CDA,,7,H.G. Gertsen,Henk,Gertsen,m,Huissen
Lijst 1 CDA,,8,G.G. van der Lugt,Geerten,van der Lugt,m,Ochten
Lijst 1 CDA,,9,A. van den Herik,Arie,van den Herik,m,Sliedrecht
Lijst 1 CDA,,10,M. Bal,Mustafa,Bal,m,Gorinchem
Lijst 1 CDA,,11,P.J.M. Ekelschot,Paul,Ekelschot,m,Leuth
Lijst 1 CDA,,12,M. Bax,Martijn,Bax,m,Arnhem
Lijst 1 CDA,,13,J. Korevaar - Den Besten,Jonette,Korevaar - Den Besten,v,Brandwijk
Lijst 1 CDA,,14,A. Keuken,Ton,Keuken,m,Opheusden
Lijst 1 CDA,,15,J.W.W.M. Koot,Hans,Koot,m,Groesbeek
Lijst 1 CDA,,16,A. de Leeuw,Arie,de Leeuw,m,Hoornaar
Lijst 1 CDA,,17,Th.J.M. van Oostrom,Tom,van Oostrom,m,Tiel
Lijst 1 CDA,,18,R.J.M. Matser,Richard,Matser,m,Tiel
