title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 Algemene Waterschapspartij,,1,R.G.C.M. Cruijsen,René,Cruijsen,m,Dreumel
Lijst 5 Algemene Waterschapspartij,,2,S.H.B. Daamen,Stefan,Daamen,m,Nijmegen
Lijst 5 Algemene Waterschapspartij,,3,J.J. van Wichen-Reijnen,Annie,van Wichen-Reijnen,v,Niftrik
Lijst 5 Algemene Waterschapspartij,,4,R. Lammers,Ruud,Lammers,m,Papendrecht
Lijst 5 Algemene Waterschapspartij,,5,N.K.J. Wiggers,Nico,Wiggers,m,Arnhem
Lijst 5 Algemene Waterschapspartij,,6,M.M. van den Berg-Verheul,Gretha,van den Berg-Verheul,v,Bleskensgraaf
Lijst 5 Algemene Waterschapspartij,,7,H. Dorenbos,Harm,Dorenbos,m,Ochten
Lijst 5 Algemene Waterschapspartij,,8,A.M. Brand,Anne Marie,Brand,v,Culemborg
Lijst 5 Algemene Waterschapspartij,,9,J.C.C.M. Gommers,Hans,Gommers,m,Dussen
Lijst 5 Algemene Waterschapspartij,,10,A.P. van Maaren,Renate,van Maaren,v,Gorinchem
Lijst 5 Algemene Waterschapspartij,,11,K. Sels,Cler,Sels,m,Alblasserdam
Lijst 5 Algemene Waterschapspartij,,12,J.P.R. Pluimes,Hans,Pluimes,m,Dussen
Lijst 5 Algemene Waterschapspartij,,13,R. Leegwater,Rob,Leegwater,m,Beuningen
Lijst 5 Algemene Waterschapspartij,,14,J.G. Lammers,Jan,Lammers,m,Ochten
Lijst 5 Algemene Waterschapspartij,,15,R.G. van de Ven,Remco,van de Ven,m,Sliedrecht
Lijst 5 Algemene Waterschapspartij,,16,E. van Amerongen,Evert,van Amerongen,m,Ochten
Lijst 5 Algemene Waterschapspartij,,17,M.G.W. Nillesen-Fleuren,Marga,Nillesen-Fleuren,v,Groesbeek
Lijst 5 Algemene Waterschapspartij,,18,L. Dielen,Leon,Dielen,m,Tiel
Lijst 5 Algemene Waterschapspartij,,19,M.A. Barber,Ria,Barber,v,Ooij
