title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),1,T. Stam,Teus,Stam,m,Alblasserdam
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),2,H.P. Drost,Harrie,Drost,m,Dodewaard
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),3,W.C. Scheurwater,Wilco,Scheurwater,m,Papendrecht
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),4,M. Gunnink,Marijn,Gunnink,m,Nijmegen
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),5,O. Sierksma,Oene,Sierksma,m,Papendrecht
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),6,M. Verdoorn,Machiel,Verdoorn,m,Werkendam
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),7,J.J. van Brakel-Huijgen,Hanny,van Brakel-Huijgen,v,Randwijk
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),8,D.K. Bos,Dikjan,Bos,m,Waal
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),9,P.C. Boogaarts,Peter,Boogaarts,m,Dussen
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),10,L. Trouwborst,Leen,Trouwborst,m,Hoornaar
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),11,J. van Beuzekom,Jan,van Beuzekom,m,Schoonrewoerd
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),12,I.C. Koedoot,Izak,Koedoot,m,Andel
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),13,H.N. Aantjes,Henk,Aantjes,m,Brandwijk
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),14,G.J. Donker,Gert-Jan,Donker,m,Vuren
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),15,W.H. van der Hoeven,Wijnand,van der Hoeven,m,Wijk en Aalburg
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),16,T. Bassa,Thomas,Bassa,m,Meerkerk
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),17,G. Mostert,Gert,Mostert,m,Culemborg
Lijst 8 ChristenUnie,Gecombineerd met Staatkundig Gereformeerde Partij (SGP),18,A. Duizer,Anne,Duizer,m,Giessen
