title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,1,R.L.M. Sleijpen,Remy,Sleijpen,m,Hulsberg
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,2,G.J.O.W. Vanhommerig,Gerard,Vanhommerig,m,Simpelveld
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,3,H.G.H.M. Quaedvlieg,Huub,Quaedvlieg,m,Heerlen
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,4,J.C. Jonker,Sjef,Jonker,m,Landgraaf
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,5,J.M.H. Middelveld,Jan,Middelveld,m,Brunssum
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,6,Y.J.F. Lataster,Yannick,Lataster,m,Kerkrade
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,7,M.H.A.T. Paulissen,Maria,Paulissen,v,Voerendaal
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,8,H.J. Beckers,Huub,Beckers,m,Jabeek
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,9,J.M.G. Peters,Hans,Peters,m,Heerlen
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,10,H.A.P.P. Lanckohr,Bert,Lanckohr,m,Kerkrade
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,11,W.A.L.M. A'Campo,Wim,A'Campo,m,Brunssum
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,12,J. Ballas,Jorn,Ballas,m,Kerkrade
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,13,J.A. Heine-van Dartel,Hannie,Heine-van Dartel,v,Heerlen
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,14,C.M.J.P. Claessens,Charles,Claessens,m,Heerlen
Lijst 1 Waterbelang Parkstad,Gecombineerd met Waterbelang Westelijke Mijnstreek en Waterbelang Heuvelland en Waterbelang,15,E.L.M. Franssen-Muijtjens,Ellie,Franssen-Muijtjens,v,Voerendaal
