title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,1,A.M.C. Nusteling,Margon,Nusteling,v,Bunde
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,2,J.S.E. van Wersch,Josette,van Wersch,v,Mechelen
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,3,C.F.B. Drummen,Cyriel,Drummen,m,Sint Geertruid
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,4,J.C. Coenen,John,Coenen,m,Vijlen
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,5,J.E.J. Blom,Jacques,Blom,m,Schin op Geul
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,6,J.H.C. van der Linden,Joep,van der Linden,m,Eys
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,7,N.M.N.P. Vroon-Closset,Nicole,Vroon-Closset,v,Eijsden
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,8,A.J.T. Minten,Ton,Minten,m,Moorveld
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,9,F.W.M. Frantzen,Giel,Frantzen,m,Margraten
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,10,M.M.W.H. Smeets,Marcel,Smeets,m,Meerssen
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,11,H.J.P. Drummen,Harrie,Drummen,m,Vaals
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,12,M.J.L.J. Ronden,Martin,Ronden,m,Valkenburg aan de Geul
Lijst 4 Waterbelang Heuvelland,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,13,J.P.M. Oostenbach,Jos,Oostenbach,m,Cadier en Keer
