title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,1,J.M. Janssen,Jim,Janssen,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,2,E.H.S. Beckers,Nol,Beckers,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,3,T de Haan,Tjalle,de Haan,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,4,P.M.H. Brüll,Mat,Brüll,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,5,R.W.M.M. Frambach,Rob,Frambach,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,6,O.L.F. Dols,Olivier,Dols,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,7,J.M.T. Janssen,Jan,Janssen,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,8,H.T.H. Borgignons,Henri,Borgignons,m,Veldwezelt-Lanaken (BE)
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,9,A.J.G.M. Horssels,Guus,Horssels,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,10,L.C.J. Thewissen,Lei,Thewissen,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,11,T.A.N. Berghmans,Tom,Berghmans,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,12,J.A.H. Bastings,Jimmy,Bastings,m,Berg en Terblijt
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,13,H.G.M. Cortjens,Henri,Cortjens,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,14,G.G. Lardenoije,Will,Lardenoije,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,15,P.H.J. Geelen,Peter,Geelen,m,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,16,G.H.G. Leers-Poelmans,Genoveef,Leers-Poelmans,v,Maastricht
Lijst 5 Waterbelang Maastricht,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,17,V.L.W.A. Heijnen,Vivianne,Heijnen,v,Maastricht
