title,description,position,full_name,first_name,last_name,gender,place
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,1,R.P.E. Pustjens,Roy,Pustjens,m,Nieuwstadt
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,2,P.P. Küppers,Paul,Küppers,m,Vlodrop
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,3,M.A.M. Breugelmans,Marc,Breugelmans,m,Roermond
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,4,M.H. Cox-Sevenich,Marij,Cox-Sevenich,v,Roermond
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,5,S. Mussche,Sylvester,Mussche,m,Maasbracht
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,6,R.J.G.M. Horsmans,Ruud,Horsmans,m,Maria Hoop
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,7,M.L.F. Wijnbeld,Marieke,Wijnbeld,v,Roermond
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,8,E.G.C.J. Kurstjens,Edwin,Kurstjens,m,Montfort
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,9,Y.A. Hoeben,Ydo,Hoeben,m,Maria Hoop
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,10,H.B.J. van Melick,Dirk,van Melick,m,Melick
Lijst 6 Waterbelang Midden-Limburg,Gecombineerd met Waterbelang Parkstad en Waterbelang Westelijke Mijnstreek en Waterbelang,11,W.A.J. Kemp,Wim,Kemp,m,Roermond
