title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 VVD,,1,M.B.D. Huver,Maicle,Huver,m,Heerlen
Lijst 7 VVD,,2,P.L.J.M. Limpens,Paul,Limpens,m,Maastricht
Lijst 7 VVD,,3,J.H.T.J. van Oppen,Jack,van Oppen,m,Brunssum
Lijst 7 VVD,,4,P.J. Spiering,Sjef,Spiering,m,Susteren
Lijst 7 VVD,,5,G.M. Noteborn,Guiseppe,Noteborn,m,Geleen
Lijst 7 VVD,,6,J.M. Bloi,Jacques Michel,Bloi,m,Landgraaf
Lijst 7 VVD,,7,N.C.P. Meijers,Niels,Meijers,m,Doenrade
Lijst 7 VVD,,8,M.J.L. Goossen,Math,Goossen,m,Melick
Lijst 7 VVD,,9,F.J.L.M. Claus,Frank,Claus,m,Linne
Lijst 7 VVD,,10,A.G. Broersma,Ab,Broersma,m,Elsloo
Lijst 7 VVD,,11,R.H.M. Helwig,Rob,Helwig,m,Stein
Lijst 7 VVD,,12,B.W.H. Lambie,Björn,Lambie,m,Landgraaf
Lijst 7 VVD,,13,H.L.M. Nijskens,Herman,Nijskens,m,Melick
Lijst 7 VVD,,14,G.A.E. Nysten,Ghislen,Nysten,m,Beek
Lijst 7 VVD,,15,B. Suers,Bart,Suers,m,Nuth
