title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,1,M.P.E. de Feijter - de Feijter,Rian,de Feijter - de Feijter,v,Axel
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,2,J.J.M. Verdurmen,Jos,Verdurmen,m,Zaamslag
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,3,A.T.M. Dobbelaer,Fons,Dobbelaer,m,Sint Jansteen
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,4,S.A. Pielaet - Leenhouts,Suzan,Pielaet - Leenhouts,v,Aardenburg
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,5,M.T. de Feijter - Dekker,Magda,de Feijter - Dekker,v,Zaamslag
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,6,G.A.M. de Bruijckere,Geert,de Bruijckere,m,Breskens
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,7,M.C. van den Kieboom,Rene,van den Kieboom,m,Kloosterzande
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,8,P.A.A. Snoodijk,Peter,Snoodijk,m,Axel
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,9,J.M.C. Rosendaal - Dees,Jenny,Rosendaal - Dees,v,Zuidzande
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,10,G. van Boom,Giel,van Boom,m,Hoek
Lijst 1 Waterschapspartij Zeeuws-Vlaanderen,Gecombineerd met Algemene Waterschapspartij Zeeland,11,M.I.R. Hemelsoet - de Jaeger,Marijke,Hemelsoet - de Jaeger,v,Westdorpe
