title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 CDA,,1,D.K.E. Steijaert,Denis,Steijaert,m,Nieuw Namen
Lijst 3 CDA,,2,C.J.C. Michielsen,Carla,Michielsen,v,Goes
Lijst 3 CDA,,3,R.J. van der Kluit,Rein,van der Kluit,m,Middelburg
Lijst 3 CDA,,4,J. Kloet,Johan,Kloet,m,Zierikzee
Lijst 3 CDA,,5,M.J.C. Uitdewilligen,Marijn,Uitdewilligen,m,Sint Kruis
Lijst 3 CDA,,6,A.J. Geluk,Anton,Geluk,m,Sint-Annaland
Lijst 3 CDA,,7,J.A. Poelman,Ko,Poelman,m,Vlissingen
Lijst 3 CDA,,8,A. Wouters,Ad,Wouters,m,Grijpskerke
Lijst 3 CDA,,9,N.P. de Danschutter,Nico,de Danschutter,m,Bruinisse
Lijst 3 CDA,,10,G.J.J. Burger,Giel-Jan,Burger,m,Wemeldinge
Lijst 3 CDA,,11,J. Lampert,Jan,Lampert,m,Biggekerke
Lijst 3 CDA,,12,G.J.C. de Rijke,Gerard,de Rijke,m,Vlissingen
Lijst 3 CDA,,13,E.J. Hoeven,Eugène,Hoeven,m,Middelburg
Lijst 3 CDA,,14,B.E.A.M. Ysebaert,Ben,Ysebaert,m,Axel
Lijst 3 CDA,,15,M.A. van 't Westeinde,Rinus,van 't Westeinde,m,Nisse
Lijst 3 CDA,,16,J.A. Quaak,Sjaak,Quaak,m,Sluis
Lijst 3 CDA,,17,C.M. van der Weele,Kees,van der Weele,m,Colijnsplaat
Lijst 3 CDA,,18,P. de Visser,Peter,de Visser,m,Zoutelande
Lijst 3 CDA,,19,W.C. van Nieuwenhuijzen,Wim,van Nieuwenhuijzen,m,Sint Philipsland
Lijst 3 CDA,,20,H.A.K. Onderdijk-Varkevisser,Hilde,Onderdijk-Varkevisser,v,Middelburg
Lijst 3 CDA,,21,T.E.P. Steijaert,Toon,Steijaert,m,Nieuw Namen
Lijst 3 CDA,,22,J. de Jager,Jaap,de Jager,m,Tholen
Lijst 3 CDA,,23,J. Kodde,Jo,Kodde,m,Arnemuiden
Lijst 3 CDA,,24,M.P.C. Huige,Rien,Huige,m,Hoedekenskerke
Lijst 3 CDA,,25,J.W. Sanderse,Johan,Sanderse,m,Serooskerke
Lijst 3 CDA,,26,D.J. van der Zaag,Dirk Jan,van der Zaag,m,Goes
