title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 VVD,,1,C.J. Almekinders,Conny,Almekinders,m,Cadzand
Lijst 4 VVD,,2,J. Huisman,Jaap,Huisman,m,Goes
Lijst 4 VVD,,3,K. Roelse,Kees,Roelse,m,Zoutelande
Lijst 4 VVD,,4,H. Janse,Hubrecht,Janse,m,Goes
Lijst 4 VVD,,5,L. Mol,Leon,Mol,m,'s-Heerenhoek
Lijst 4 VVD,,6,G.J. Hoek,Gabri,Hoek,m,Sint Maartensdijk
Lijst 4 VVD,,7,S.F. Cracau,Sal,Cracau,m,Vlissingen
Lijst 4 VVD,,8,A.J.C. van Oost,Anton,van Oost,m,Tholen
Lijst 4 VVD,,9,B.H. Jasperse,Stan,Jasperse,m,Wolphaartsdijk
Lijst 4 VVD,,10,W. van Maanen,Wim,van Maanen,m,Oostkapelle
Lijst 4 VVD,,11,P.J.W. Brand,Peter,Brand,m,Hulst
Lijst 4 VVD,,12,C.M. Lijesen,Glenn,Lijesen,m,Middelburg
Lijst 4 VVD,,13,H.J. van Geesbergen,Hans,van Geesbergen,m,Zierikzee
Lijst 4 VVD,,14,B.H. Beumer,Erik,Beumer,m,Terneuzen
Lijst 4 VVD,,15,C.G Koeman,Christian,Koeman,m,Kruiningen
Lijst 4 VVD,,16,P.A.J. Stoel,Peter,Stoel,m,Vlissingen
Lijst 4 VVD,,17,A. Vermeulen,Ton,Vermeulen,m,Middelburg
Lijst 4 VVD,,18,M. Groeneveld,Michiel,Groeneveld,m,Terneuzen
Lijst 4 VVD,,19,R. Ruissen,René,Ruissen,m,Hulst
Lijst 4 VVD,,20,A. Bosman,Andre,Bosman,m,Middelburg
