title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 Water Natuurlijk,,1,F.H. van Kollem,Frans,van Kollem,m,Zuiddorpe
Lijst 7 Water Natuurlijk,,2,C.P. Polderman,Kees,Polderman,m,Middelburg
Lijst 7 Water Natuurlijk,,3,P.J. van Eck,Pieter,van Eck,m,Vlissingen
Lijst 7 Water Natuurlijk,,4,A.E.M.C. van Hootegem,Alex,van Hootegem,m,Kruiningen
Lijst 7 Water Natuurlijk,,5,L. Harpe,Leen,Harpe,m,Kloetinge
Lijst 7 Water Natuurlijk,,6,H.M.C. Menheere,Heidie,Menheere,v,Middelburg
Lijst 7 Water Natuurlijk,,7,S.A. de Jong,Loes,de Jong,v,Middelburg
Lijst 7 Water Natuurlijk,,8,G.J.C. Buth,Gert-Jan,Buth,m,Serooskerke S.D.
Lijst 7 Water Natuurlijk,,9,T.S. Blauw,Tjeerd,Blauw,m,Middelburg
Lijst 7 Water Natuurlijk,,10,L.L. Calle,Lucien,Calle,m,Vogelwaarde
Lijst 7 Water Natuurlijk,,11,L.D.P. D'hoore,Leo,D'hoore,m,Waterlandkerkje
Lijst 7 Water Natuurlijk,,12,S.M.A.J. Dobbelaar,Sandra,Dobbelaar,v,Vogelwaarde
Lijst 7 Water Natuurlijk,,13,J.R. Heringa,Jouke,Heringa,m,Middelburg
Lijst 7 Water Natuurlijk,,14,P.H. Hofstede,Peter,Hofstede,m,Sint Kruis
Lijst 7 Water Natuurlijk,,15,C.J. van Overbeeke,Chris,van Overbeeke,m,Heinkenszand
Lijst 7 Water Natuurlijk,,16,T. Seijnstra,Tamme,Seijnstra,m,Vlissingen
Lijst 7 Water Natuurlijk,,17,T.C.J. Sluijter,Ted,Sluijter,m,Burgh-Haamstede
Lijst 7 Water Natuurlijk,,18,J.W.D. Verherbrugge,Jaap,Verherbrugge,m,Breskens
Lijst 7 Water Natuurlijk,,19,C.J. Geluk,Ria,Geluk,v,Nieuwerkerk
