title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),1,F. ter Maten,Frans,ter Maten,m,Leusden
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),2,A.T.F. Meier,Astrid,Meier,v,Amersfoort
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),3,D. Wever,Dirk,Wever,m,Nijkerk
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),4,W. Goedhart,Wim,Goedhart,m,Deventer
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),5,H.A.T.M. van Wezel,Henk,van Wezel,m,Amersfoort
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),6,C. Kwakernaak,Cees,Kwakernaak,m,Heveadorp
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),7,E. van Geest,Elly,van Geest,v,Putten
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),8,Y.H.P. de Graaf,Yvonne,de Graaf,v,Apeldoorn
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),9,H. Pijper,Henk,Pijper,m,Amersfoort
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),10,J.J. van der Weerd,Jules,van der Weerd,m,Hattemerbroek
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),11,M.J. Eijkelenboom,Greet,Eijkelenboom,v,Wageningen
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),12,M.H.F.M. van Gerwen,Monique,van Gerwen,v,Oosterbeek
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),13,P.H. Smits,Peter,Smits,m,Wageningen
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),14,E.J. Loosjes,Elsa,Loosjes,v,Bennekom
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),15,A.C.A. Knoet,Ton,Knoet,m,Harderwijk
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),16,M.J.J.H. Verheugen,Marie-José,Verheugen,v,Leusden
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),17,I.J.B.M. Beusink,Irma,Beusink,v,Wageningen
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),18,J.C. Ruijter,Jacob,Ruijter,m,Apeldoorn
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),19,H. Smeenk,Hester,Smeenk,v,Deventer
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),20,M. Schmitz,Marc,Schmitz,m,Amersfoort
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),21,R. Torenbeek,Reinder,Torenbeek,m,Hoenderloo
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),22,R. Kuiper,Rienk,Kuiper,m,Wageningen
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),23,E.J. Mooiweer,Egbert Jaap,Mooiweer,m,Doorwerth
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),24,J.D. van Oort,Dick,van Oort,m,Oosterbeek
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),25,T.J. Verstrael,Theo,Verstrael,m,Bennekom
Lijst 3 Water Natuurlijk,Gecombineerd met Partij van de Arbeid (P.v.d.A.),26,M.S. Brouwer,Marjan,Brouwer,v,Amersfoort
