title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,1,H.J. van der Wind,Henk,van der Wind,,Maarsbergen
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,2,B.J. van Vreeswijk,Bert,van Vreeswijk,,Scherpenzeel
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,3,L. Polinder,Lambert,Polinder,,Doornspijk
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,4,A. Versteeg,Arnold,Versteeg,,Wekerom
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,5,R.T. van de Pol,Tom,van de Pol,,Apeldoorn
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,6,L.A. van der Velden,Leo,van der Velden,,Ermelo
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,7,G. van Ommeren,Gijs,van Ommeren,,Lunteren
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,8,A.M. Boer,Hans,Boer,,Nijkerk
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,9,J. Nitrauw,Jaap,Nitrauw,,Wapenveld
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,10,H.C. van den Brink,Henk,van den Brink,,Kootwijkerbroek
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,11,G. van Lagen,Gerrit,van Lagen,,Putten
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,12,H. van Dijk,Henk,van Dijk,,De Klomp
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,13,P. van Duijn,Peter,van Duijn,,Oldebroek
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,14,C.A. van Beusekom,Christiaan,van Beusekom,,Woudenberg
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,15,G. Ploeg,Gert,Ploeg,,Barneveld
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,16,A. Verheul,Arie,Verheul,,Harskamp
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,17,A. Lok,Albert,Lok,,Doornspijk
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,18,P.A. van Leeuwen,Piet,van Leeuwen,,Rhenen
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,19,C. Stoffer,Chris,Stoffer,,Elspeet
Lijst 4 Staatkundig Gereformeerde Partij (SGP),Gecombineerd met ChristenUnie,20,B. van de Weerd,Breunis,van de Weerd,,Ede
